onset	duration	video	participant	session
1	1	sec-222.avi	sub-16	ses-01
7	1	sec-333.avi	sub-16	ses-01
13	1	sec-396.avi	sub-15	ses-01
19	1	sec-78.avi	sub-15	ses-01
25	1	sec-72.avi	sub-16	ses-01
31	1	sec-295.avi	sub-16	ses-01
37	1	sec-14.avi	sub-16	ses-01
43	1	sec-1007.avi	sub-15	ses-01
49	1	sec-199.avi	sub-16	ses-01
55	1	sec-242.avi	sub-15	ses-01
61	1	sec-1117.avi	sub-15	ses-01
67	1	sec-209.avi	sub-16	ses-01
73	1	sec-4.avi	sub-15	ses-01
79	1	sec-269.avi	sub-15	ses-01
85	1	sec-19.avi	sub-16	ses-01
91	1	sec-937.avi	sub-15	ses-01
97	1	sec-75.avi	sub-15	ses-01
103	1	sec-33.avi	sub-16	ses-01
109	1	sec-158.avi	sub-16	ses-01
115	1	sec-95.avi	sub-16	ses-01
121	1	sec-897.avi	sub-15	ses-01
127	1	sec-38.avi	sub-16	ses-01
133	1	sec-316.avi	sub-16	ses-01
139	1	sec-954.avi	sub-15	ses-01
145	1	sec-309.avi	sub-15	ses-01
151	1	sec-61.avi	sub-16	ses-01
157	1	sec-53.avi	sub-16	ses-01
163	1	sec-74.avi	sub-15	ses-01
169	1	sec-243.avi	sub-16	ses-01
175	1	sec-782.avi	sub-15	ses-01
181	1	sec-169.avi	sub-16	ses-01
187	1	sec-46.avi	sub-16	ses-01
193	1	sec-1048.avi	sub-15	ses-01
199	1	sec-26.avi	sub-16	ses-01
205	1	sec-872.avi	sub-15	ses-01
211	1	sec-311.avi	sub-16	ses-01
217	1	sec-424.avi	sub-15	ses-01
223	1	sec-15.avi	sub-16	ses-01
229	1	sec-242.avi	sub-16	ses-01
235	1	sec-12.avi	sub-16	ses-01
241	1	sec-1.avi	sub-16	ses-01
247	1	sec-887.avi	sub-15	ses-01
253	1	sec-124.avi	sub-15	ses-01
259	1	sec-80.avi	sub-16	ses-01
265	1	sec-1183.avi	sub-15	ses-01
271	1	sec-233.avi	sub-16	ses-01
277	1	sec-278.avi	sub-15	ses-01
283	1	sec-1031.avi	sub-15	ses-01
289	1	sec-604.avi	sub-15	ses-01
295	1	sec-113.avi	sub-16	ses-01
301	1	sec-261.avi	sub-16	ses-01
307	1	sec-410.avi	sub-15	ses-01
313	1	sec-995.avi	sub-15	ses-01
319	1	sec-549.avi	sub-15	ses-01
325	1	sec-166.avi	sub-15	ses-01
331	1	sec-185.avi	sub-16	ses-01
337	1	sec-35.avi	sub-15	ses-01
343	1	sec-175.avi	sub-15	ses-01
349	1	sec-911.avi	sub-15	ses-01
355	1	sec-277.avi	sub-16	ses-01
