onset	duration	video	participant	session
1	1	sec-35.avi	sub-13	ses-01
7	1	sec-238.avi	sub-13	ses-01
13	1	sec-183.avi	sub-13	ses-01
19	1	sec-179.avi	sub-14	ses-01
25	1	sec-488.avi	sub-14	ses-01
31	1	sec-188.avi	sub-14	ses-01
37	1	sec-190.avi	sub-13	ses-01
43	1	sec-383.avi	sub-14	ses-01
49	1	sec-249.avi	sub-13	ses-01
55	1	sec-206.avi	sub-14	ses-01
61	1	sec-103.avi	sub-13	ses-01
67	1	sec-338.avi	sub-13	ses-01
73	1	sec-372.avi	sub-13	ses-01
79	1	sec-96.avi	sub-14	ses-01
85	1	sec-500.avi	sub-14	ses-01
91	1	sec-156.avi	sub-13	ses-01
97	1	sec-391.avi	sub-14	ses-01
103	1	sec-45.avi	sub-13	ses-01
109	1	sec-269.avi	sub-13	ses-01
115	1	sec-314.avi	sub-13	ses-01
121	1	sec-134.avi	sub-13	ses-01
127	1	sec-420.avi	sub-14	ses-01
133	1	sec-7.avi	sub-13	ses-01
139	1	sec-54.avi	sub-13	ses-01
145	1	sec-437.avi	sub-14	ses-01
151	1	sec-82.avi	sub-13	ses-01
157	1	sec-352.avi	sub-14	ses-01
163	1	sec-254.avi	sub-13	ses-01
169	1	sec-276.avi	sub-13	ses-01
175	1	sec-33.avi	sub-13	ses-01
181	1	sec-353.avi	sub-13	ses-01
187	1	sec-365.avi	sub-13	ses-01
193	1	sec-19.avi	sub-14	ses-01
199	1	sec-163.avi	sub-14	ses-01
205	1	sec-141.avi	sub-13	ses-01
211	1	sec-297.avi	sub-14	ses-01
217	1	sec-523.avi	sub-14	ses-01
223	1	sec-213.avi	sub-13	ses-01
229	1	sec-328.avi	sub-14	ses-01
235	1	sec-335.avi	sub-14	ses-01
241	1	sec-553.avi	sub-14	ses-01
247	1	sec-213.avi	sub-14	ses-01
253	1	sec-223.avi	sub-13	ses-01
259	1	sec-410.avi	sub-14	ses-01
265	1	sec-112.avi	sub-13	ses-01
271	1	sec-76.avi	sub-13	ses-01
277	1	sec-255.avi	sub-14	ses-01
283	1	sec-8.avi	sub-14	ses-01
289	1	sec-321.avi	sub-14	ses-01
295	1	sec-124.avi	sub-13	ses-01
301	1	sec-288.avi	sub-14	ses-01
307	1	sec-568.avi	sub-14	ses-01
313	1	sec-89.avi	sub-13	ses-01
319	1	sec-54.avi	sub-14	ses-01
325	1	sec-124.avi	sub-14	ses-01
331	1	sec-159.avi	sub-14	ses-01
337	1	sec-284.avi	sub-13	ses-01
343	1	sec-74.avi	sub-14	ses-01
349	1	sec-315.avi	sub-13	ses-01
355	1	sec-107.avi	sub-14	ses-01
