video	time_from_scan	emotion	memory_strength	face_or_not	person_familiarity	place_familiarity
sec-1.avi	1215	5	5	1	2	0
sec-2.avi	1214	5	5	1	2	0
sec-6.avi	1210	4	5	0	0	0
sec-9.avi	1207	5	5	1	3	2
sec-17.avi	1199	5	5	1	2	1
sec-19.avi	1197	0	5	1	2	0
sec-21.avi	1195	4	4	0	0	2
sec-31.avi	1185	5	5	1	2	1
sec-32.avi	1184	5	5	1	2	1
sec-33.avi	1183	5	5	1	2	1
sec-35.avi	1181	2	5	0	0	0
sec-40.avi	1176	2	5	1	2	0
sec-42.avi	1174	2	3	0	0	2
sec-48.avi	1168	3	2	0	0	2
sec-54.avi	1162	5	5	1	2	0
sec-55.avi	1161	2	5	0	0	0
sec-56.avi	1160	2	2	0	0	2
sec-57.avi	1159	4	3	0	0	0
sec-63.avi	1153	3	4	0	0	2
sec-64.avi	1152	3	1	0	0	0
sec-69.avi	1147	2	4	0	0	0
sec-73.avi	1143	2	4	0	0	2
sec-74.avi	1142	4	4	1	2	2
sec-75.avi	1141	5	5	1	2	0
sec-80.avi	1136	2	4	0	3	0
sec-83.avi	1133	2	3	0	0	2
sec-100.avi	1116	3	4	0	0	0
sec-102.avi	1114	5	4	1	2	1
sec-103.avi	1113	2	4	1	2	0
sec-106.avi	1110	5	5	0	0	0
sec-107.avi	1109	5	5	1	2	2
sec-116.avi	1100	4	4	1	2	0
sec-117.avi	1099	5	4	1	2	0
sec-119.avi	1097	4	4	0	0	2
sec-123.avi	1093	4	4	1	2	0
sec-125.avi	1091	2	4	0	0	1
sec-128.avi	1088	5	4	0	0	0
sec-131.avi	1085	5	5	1	2	0
sec-134.avi	1082	5	5	1	2	2
sec-139.avi	1077	4	4	1	2	0
sec-145.avi	1071	4	4	1	2	0
sec-150.avi	1066	2	3	1	2	2
sec-152.avi	1064	4	3	0	0	2
sec-154.avi	1062	5	4	0	0	1
sec-157.avi	1059	5	5	1	2	2
sec-158.avi	1058	5	5	1	2	0
sec-171.avi	1045	4	4	0	3	0
sec-178.avi	1038	4	4	1	2	0
sec-183.avi	1033	4	4	1	2	0
sec-189.avi	1027	4	4	0	0	2
sec-190.avi	1026	3	3	0	0	0
sec-193.avi	1023	5	5	1	2	1
sec-194.avi	1022	4	3	1	2	2
sec-197.avi	1019	3	4	1	2	2
sec-199.avi	1017	3	4	0	0	0
sec-200.avi	1016	5	5	1	2	0
sec-202.avi	1014	2	5	0	0	0
sec-209.avi	1007	3	4	0	3	0
sec-212.avi	1004	4	4	1	2	0
sec-214.avi	1002	4	3	0	0	0
sec-218.avi	998	4	4	1	2	0
sec-230.avi	986	4	3	0	0	0
sec-238.avi	978	2	5	1	2	2
sec-240.avi	976	4	5	0	0	0
sec-248.avi	968	5	5	1	2	1
sec-252.avi	964	4	4	0	0	0
sec-253.avi	963	4	5	0	0	2
sec-258.avi	958	4	5	0	0	0
sec-264.avi	952	5	5	0	0	0
sec-271.avi	945	4	5	0	0	1
sec-274.avi	942	4	2	0	0	0
sec-275.avi	941	4	3	0	0	0
sec-279.avi	937	5	5	1	2	0
sec-280.avi	936	1	5	0	0	1
sec-283.avi	933	5	5	1	2	1
sec-286.avi	930	2	4	0	0	0
sec-288.avi	928	3	3	0	0	2
sec-300.avi	916	5	5	0	0	0
sec-302.avi	914	4	2	1	2	0
sec-309.avi	907	5	4	1	2	1
sec-310.avi	906	5	5	1	2	1
sec-311.avi	905	4	5	1	2	0
sec-314.avi	902	5	3	0	0	2
sec-323.avi	893	3	2	0	0	0
sec-327.avi	889	2	3	0	0	0
sec-328.avi	888	4	4	0	0	0
sec-330.avi	886	4	4	0	0	1
sec-331.avi	885	5	5	0	0	1
sec-332.avi	884	4	4	1	2	0
sec-339.avi	877	3	2	0	0	2
sec-352.avi	864	5	5	0	0	2
sec-353.avi	863	5	4	1	2	0
sec-356.avi	860	3	4	0	0	0
sec-374.avi	842	4	4	1	2	0
sec-376.avi	840	2	4	0	0	2
sec-377.avi	839	4	3	1	2	2
sec-379.avi	837	3	3	0	0	0
sec-380.avi	836	5	5	1	2	0
sec-381.avi	835	4	3	1	2	2
sec-383.avi	833	5	5	1	3	0
sec-387.avi	829	5	5	1	2	0
sec-388.avi	828	5	5	1	3	0
sec-389.avi	827	5	4	0	0	0
sec-395.avi	821	4	4	0	0	2
sec-396.avi	820	3	3	0	0	2
sec-399.avi	817	4	3	1	2	0
sec-403.avi	813	5	5	0	3	2
sec-404.avi	812	5	5	1	2	2
sec-405.avi	811	5	5	0	0	0
sec-410.avi	806	4	4	0	0	2
sec-411.avi	805	3	2	0	0	2
sec-415.avi	801	4	4	1	2	0
sec-417.avi	799	4	4	0	0	2
sec-423.avi	793	2	4	0	0	0
sec-426.avi	790	4	4	0	0	0
sec-429.avi	787	4	5	1	2	0
sec-430.avi	786	2	4	0	0	1
sec-431.avi	785	3	3	1	2	0
sec-434.avi	782	5	4	1	2	0
sec-435.avi	781	3	4	1	2	0
sec-436.avi	780	5	5	0	0	0
sec-465.avi	751	4	4	0	0	0
sec-467.avi	749	4	5	0	0	0
sec-469.avi	747	4	4	1	2	0
sec-471.avi	745	4	4	1	2	0
sec-483.avi	733	4	4	0	0	1
sec-493.avi	723	5	5	0	0	2
sec-496.avi	720	5	5	1	2	2
sec-499.avi	717	4	5	1	2	0
sec-504.avi	712	5	5	1	2	1
sec-517.avi	699	4	5	1	2	1
sec-522.avi	694	2	3	0	0	0
