onset	duration	video	participant	session
1	1	sec-10.avi	sub-03	ses-02
7	1	sec-678.avi	sub-19	ses-01
13	1	sec-818.avi	sub-19	ses-01
19	1	sec-789.avi	sub-19	ses-01
25	1	sec-178.avi	sub-03	ses-02
31	1	sec-589.avi	sub-03	ses-02
37	1	sec-663.avi	sub-03	ses-02
43	1	sec-455.avi	sub-19	ses-01
49	1	sec-714.avi	sub-19	ses-01
55	1	sec-651.avi	sub-19	ses-01
61	1	sec-421.avi	sub-03	ses-02
67	1	sec-723.avi	sub-19	ses-01
73	1	sec-391.avi	sub-03	ses-02
79	1	sec-187.avi	sub-03	ses-02
85	1	sec-806.avi	sub-19	ses-01
91	1	sec-525.avi	sub-03	ses-02
97	1	sec-65.avi	sub-03	ses-02
103	1	sec-621.avi	sub-19	ses-01
109	1	sec-112.avi	sub-03	ses-02
115	1	sec-36.avi	sub-03	ses-02
121	1	sec-610.avi	sub-03	ses-02
127	1	sec-375.avi	sub-19	ses-01
133	1	sec-668.avi	sub-19	ses-01
139	1	sec-573.avi	sub-19	ses-01
145	1	sec-160.avi	sub-03	ses-02
151	1	sec-765.avi	sub-19	ses-01
157	1	sec-510.avi	sub-03	ses-02
163	1	sec-330.avi	sub-03	ses-02
169	1	sec-119.avi	sub-03	ses-02
175	1	sec-395.avi	sub-19	ses-01
181	1	sec-645.avi	sub-19	ses-01
187	1	sec-774.avi	sub-19	ses-01
193	1	sec-703.avi	sub-19	ses-01
199	1	sec-405.avi	sub-03	ses-02
205	1	sec-535.avi	sub-03	ses-02
211	1	sec-26.avi	sub-03	ses-02
217	1	sec-757.avi	sub-19	ses-01
223	1	sec-679.avi	sub-19	ses-01
229	1	sec-226.avi	sub-03	ses-02
235	1	sec-148.avi	sub-03	ses-02
241	1	sec-595.avi	sub-19	ses-01
247	1	sec-779.avi	sub-19	ses-01
253	1	sec-277.avi	sub-03	ses-02
259	1	sec-599.avi	sub-19	ses-01
265	1	sec-139.avi	sub-03	ses-02
271	1	sec-612.avi	sub-19	ses-01
277	1	sec-638.avi	sub-19	ses-01
283	1	sec-49.avi	sub-03	ses-02
289	1	sec-546.avi	sub-19	ses-01
295	1	sec-430.avi	sub-19	ses-01
301	1	sec-745.avi	sub-19	ses-01
307	1	sec-560.avi	sub-03	ses-02
313	1	sec-236.avi	sub-03	ses-02
319	1	sec-690.avi	sub-19	ses-01
325	1	sec-512.avi	sub-19	ses-01
331	1	sec-44.avi	sub-03	ses-02
337	1	sec-371.avi	sub-03	ses-02
343	1	sec-269.avi	sub-03	ses-02
349	1	sec-735.avi	sub-19	ses-01
355	1	sec-97.avi	sub-03	ses-02
