video	time_from_scan	emotion	memory_strength	face_or_not	person_familiarity	place_familiarity
sec-1.avi	305	4	5	1	3	2
sec-2.avi	304	4	5	0	3	0
sec-3.avi	303	4	2	0	0	1
sec-4.avi	302	5	5	1	2	2
sec-5.avi	301	4	2	1	2	2
sec-6.avi	300	4	3	1	3	2
sec-7.avi	299	3	1	0	0	0
sec-8.avi	298	5	5	1	2	2
sec-9.avi	297	5	1	0	0	2
sec-10.avi	296	2	5	1	2	2
sec-11.avi	295	4	3	1	2	2
sec-12.avi	294	4	3	1	3	0
sec-13.avi	293	4	4	1	2	0
sec-14.avi	292	5	4	1	2	2
sec-15.avi	291	5	4	0	0	2
sec-16.avi	290	5	5	1	2	2
sec-17.avi	289	3	3	0	0	0
sec-18.avi	288	3	1	0	3	2
sec-19.avi	287	1	3	1	2	0
sec-20.avi	286	2	3	0	0	2
sec-22.avi	284	5	5	0	0	2
sec-23.avi	283	3	2	1	2	2
sec-24.avi	282	3	1	0	0	0
sec-25.avi	281	4	1	0	0	0
sec-26.avi	280	3	2	1	2	2
sec-27.avi	279	4	1	1	2	0
sec-28.avi	278	4	1	0	0	0
sec-29.avi	277	3	1	0	0	2
sec-30.avi	276	2	1	1	2	2
sec-31.avi	275	3	1	1	2	2
sec-32.avi	274	5	3	1	2	2
sec-33.avi	273	4	2	1	2	2
sec-34.avi	272	5	3	1	2	2
sec-35.avi	271	4	3	1	2	2
sec-36.avi	270	5	5	1	2	2
sec-37.avi	269	5	3	1	2	2
sec-38.avi	268	3	4	1	3	2
sec-39.avi	267	4	3	1	2	2
sec-40.avi	266	3	3	1	2	2
sec-41.avi	265	3	1	1	2	0
sec-42.avi	264	3	3	0	0	2
sec-43.avi	263	3	3	0	0	2
sec-44.avi	262	4	4	0	0	2
sec-45.avi	261	3	1	0	0	0
sec-46.avi	260	4	2	1	2	2
sec-47.avi	259	5	1	1	2	2
sec-48.avi	258	3	2	0	0	0
sec-49.avi	257	5	3	1	2	2
sec-50.avi	256	4	3	0	0	0
sec-51.avi	255	3	5	0	0	0
sec-52.avi	254	5	3	1	2	2
sec-53.avi	253	5	5	1	3	2
sec-54.avi	252	5	5	1	3	2
sec-55.avi	251	3	2	0	3	2
sec-56.avi	250	5	3	1	2	2
sec-57.avi	249	5	5	1	2	2
sec-58.avi	248	5	3	1	2	2
sec-59.avi	247	5	5	1	3	2
sec-60.avi	246	4	1	0	0	0
sec-61.avi	245	3	5	0	0	0
sec-62.avi	244	3	2	1	2	0
sec-63.avi	243	5	5	1	3	2
sec-64.avi	242	5	2	1	2	2
sec-65.avi	241	4	3	1	2	2
sec-66.avi	240	4	3	1	2	2
sec-67.avi	239	5	5	1	3	2
sec-68.avi	238	4	5	1	2	2
sec-69.avi	237	4	3	0	0	2
sec-70.avi	236	4	2	1	2	2
sec-71.avi	235	3	1	0	0	2
sec-72.avi	234	5	5	1	2	2
sec-73.avi	233	5	3	1	2	2
sec-74.avi	232	4	3	1	2	2
sec-75.avi	231	5	5	1	3	2
sec-76.avi	230	0	0	0	0	0
sec-77.avi	229	5	3	1	2	2
sec-78.avi	228	5	5	1	3	0
sec-79.avi	227	5	3	0	0	0
sec-80.avi	226	5	3	1	2	2
sec-81.avi	225	3	2	1	2	2
sec-82.avi	224	3	3	1	2	2
sec-83.avi	223	5	5	1	2	2
sec-84.avi	222	5	5	1	2	2
sec-85.avi	221	3	1	0	3	0
sec-86.avi	220	5	3	1	3	0
sec-87.avi	219	3	2	1	2	2
sec-88.avi	218	3	2	0	0	2
sec-89.avi	217	4	3	1	1	2
sec-90.avi	216	5	2	1	3	2
sec-91.avi	215	4	4	1	2	2
sec-92.avi	214	4	5	0	0	0
sec-93.avi	213	4	4	0	0	0
sec-94.avi	212	3	3	1	2	2
sec-95.avi	211	4	5	1	2	2
sec-96.avi	210	4	3	0	3	2
sec-97.avi	209	3	2	1	2	2
sec-98.avi	208	5	5	1	3	2
sec-99.avi	207	5	5	0	0	0
sec-100.avi	206	4	2	1	3	0
sec-101.avi	205	4	5	1	2	2
sec-102.avi	204	4	5	0	3	2
sec-103.avi	203	5	5	1	3	0
sec-104.avi	202	5	5	1	3	0
sec-105.avi	201	3	1	1	2	2
sec-106.avi	200	4	5	1	2	2
sec-107.avi	199	5	3	1	2	2
sec-108.avi	198	5	5	1	2	2
sec-109.avi	197	3	1	0	0	0
sec-110.avi	196	3	2	0	0	2
sec-111.avi	195	4	3	1	2	1
sec-112.avi	194	3	1	1	2	0
sec-113.avi	193	3	5	1	2	0
sec-114.avi	192	4	4	0	3	0
sec-115.avi	191	3	5	0	0	0
sec-116.avi	190	3	1	1	2	2
sec-117.avi	189	5	4	1	2	2
sec-118.avi	188	5	3	1	2	2
sec-119.avi	187	5	1	1	2	2
sec-120.avi	186	4	1	0	0	0
sec-122.avi	184	5	1	1	2	2
sec-123.avi	183	5	3	1	2	2
sec-124.avi	182	4	2	1	2	2
sec-125.avi	181	5	5	1	2	2
sec-126.avi	180	3	2	0	0	0
sec-127.avi	179	4	2	0	3	0
sec-128.avi	178	4	5	1	3	2
sec-129.avi	177	3	3	1	2	2
sec-130.avi	176	3	3	0	0	2
sec-131.avi	175	3	2	1	2	0
sec-132.avi	174	4	2	1	2	2
sec-133.avi	173	4	4	0	0	2
sec-134.avi	172	3	1	0	0	0
sec-135.avi	171	4	1	1	2	2
sec-136.avi	170	2	5	0	3	0
sec-137.avi	169	4	3	0	0	2
sec-138.avi	168	4	3	1	2	2
sec-139.avi	167	5	5	1	3	2
sec-140.avi	166	5	5	0	0	2
sec-141.avi	165	5	5	1	2	0
sec-142.avi	164	5	5	1	3	2
sec-143.avi	163	5	5	1	3	2
sec-144.avi	162	5	2	1	2	2
sec-145.avi	161	3	3	1	2	2
sec-146.avi	160	5	5	1	2	2
sec-147.avi	159	5	5	1	3	2
sec-148.avi	158	5	5	1	2	2
sec-149.avi	157	4	2	1	2	2
sec-150.avi	156	5	4	0	3	2
sec-151.avi	155	5	5	1	3	0
sec-152.avi	154	0	0	0	0	0
sec-153.avi	153	5	5	1	2	2
sec-154.avi	152	5	3	1	3	0
sec-155.avi	151	5	5	1	3	2
sec-156.avi	150	5	5	1	3	2
sec-157.avi	149	5	5	1	3	2
sec-158.avi	148	3	3	1	2	2
sec-159.avi	147	5	5	1	3	2
sec-160.avi	146	5	3	0	0	2
sec-161.avi	145	4	2	1	2	0
sec-162.avi	144	2	4	1	2	0
sec-163.avi	143	3	1	1	2	2
sec-164.avi	142	5	5	1	3	0
sec-165.avi	141	5	5	1	2	2
sec-166.avi	140	4	5	0	0	2
sec-167.avi	139	0	0	0	0	0
sec-168.avi	138	4	3	1	2	2
sec-169.avi	137	4	1	0	3	2
sec-170.avi	136	5	5	1	2	2
sec-171.avi	135	5	1	1	2	2
sec-172.avi	134	4	5	1	3	0
sec-173.avi	133	5	2	1	2	2
sec-174.avi	132	4	3	1	2	2
sec-175.avi	131	4	2	1	2	0
sec-176.avi	130	5	2	1	2	0
sec-177.avi	129	3	2	1	2	2
sec-178.avi	128	1	5	0	0	0
sec-179.avi	127	5	5	1	2	0
sec-180.avi	126	5	2	1	2	2
sec-181.avi	125	5	5	1	2	2
sec-182.avi	124	4	3	1	2	2
sec-183.avi	123	5	2	1	2	2
sec-184.avi	122	3	1	0	0	0
sec-185.avi	121	4	2	0	0	2
sec-186.avi	120	4	3	1	2	2
sec-187.avi	119	4	3	1	2	2
sec-188.avi	118	3	2	0	0	2
sec-189.avi	117	5	5	1	2	2
sec-190.avi	116	4	3	1	2	2
sec-191.avi	115	5	5	0	0	2
sec-192.avi	114	5	5	1	2	0
sec-193.avi	113	5	5	1	1	2
sec-194.avi	112	3	3	0	3	0
sec-195.avi	111	4	5	1	2	2
sec-196.avi	110	5	5	1	2	2
sec-197.avi	109	5	4	1	2	2
sec-198.avi	108	4	2	1	2	0
sec-199.avi	107	3	1	1	2	0
sec-200.avi	106	5	2	1	2	2
sec-201.avi	105	3	3	0	0	2
sec-202.avi	104	5	5	0	0	2
sec-203.avi	103	5	5	1	2	2
sec-204.avi	102	4	5	1	2	2
sec-205.avi	101	4	5	1	3	0
sec-206.avi	100	4	5	1	3	1
sec-207.avi	99	5	5	0	0	0
sec-208.avi	98	0	0	0	0	0
sec-209.avi	97	5	5	0	0	0
sec-210.avi	96	5	5	1	3	1
sec-211.avi	95	5	5	1	2	2
sec-212.avi	94	0	0	0	0	0
sec-213.avi	93	5	5	0	0	0
sec-214.avi	92	5	5	1	2	2
sec-215.avi	91	5	5	0	0	1
sec-216.avi	90	5	5	1	2	2
sec-217.avi	89	5	5	1	2	2
sec-218.avi	88	5	5	1	2	0
sec-219.avi	87	5	5	1	2	2
sec-220.avi	86	0	0	0	0	0
sec-221.avi	85	5	3	0	0	2
sec-222.avi	84	5	5	1	3	0
sec-223.avi	83	5	5	1	2	2
sec-224.avi	82	5	5	0	0	1
sec-225.avi	81	5	5	1	2	0
sec-226.avi	80	1	5	1	3	1
sec-227.avi	79	5	5	1	3	0
sec-228.avi	78	5	3	1	2	0
sec-229.avi	77	5	5	1	2	1
sec-230.avi	76	5	5	1	2	2
sec-231.avi	75	5	3	1	3	0
sec-232.avi	74	5	5	0	0	0
sec-233.avi	73	5	5	1	2	2
sec-234.avi	72	5	5	1	2	2
sec-235.avi	71	3	1	0	0	0
sec-236.avi	70	4	2	1	1	0
sec-237.avi	69	4	3	0	0	2
sec-238.avi	68	3	3	0	0	0
sec-239.avi	67	4	3	0	0	1
sec-240.avi	66	3	1	0	0	2
sec-241.avi	65	5	2	1	3	1
sec-242.avi	64	5	5	1	2	2
sec-243.avi	63	0	0	0	0	0
sec-244.avi	62	3	3	1	2	2
sec-245.avi	61	5	5	1	2	2
sec-246.avi	60	3	5	0	3	2
sec-247.avi	59	5	5	1	2	1
sec-248.avi	58	4	4	1	2	2
sec-249.avi	57	4	5	1	3	2
sec-250.avi	56	4	4	1	2	2
sec-251.avi	55	4	3	0	0	2
sec-252.avi	54	4	3	1	2	2
sec-253.avi	53	3	3	1	2	2
sec-254.avi	52	4	3	0	0	2
sec-255.avi	51	3	1	0	0	0
sec-256.avi	50	3	3	1	2	2
sec-257.avi	49	3	4	1	2	0
sec-258.avi	48	4	5	1	2	2
sec-259.avi	47	3	4	1	2	0
sec-260.avi	46	5	4	1	2	2
sec-261.avi	45	3	4	1	2	0
sec-262.avi	44	3	3	0	0	2
sec-263.avi	43	4	4	1	2	2
sec-264.avi	42	3	2	0	0	0
sec-265.avi	41	4	4	0	0	0
sec-266.avi	40	3	1	0	0	0
sec-267.avi	39	3	3	1	2	1
sec-268.avi	38	3	4	1	2	0
sec-269.avi	37	3	1	0	0	0
sec-270.avi	36	3	1	1	2	2
sec-271.avi	35	4	3	0	0	1
sec-272.avi	34	3	2	1	2	2
sec-273.avi	33	4	4	1	2	2
sec-274.avi	32	5	4	0	0	0
sec-275.avi	31	3	3	1	2	2
sec-276.avi	30	3	3	0	0	2
sec-277.avi	29	0	0	0	0	0
sec-278.avi	28	0	0	0	0	0
sec-279.avi	27	0	0	0	0	0
sec-280.avi	26	4	3	0	0	0
sec-281.avi	25	4	3	0	0	0
sec-282.avi	24	3	1	1	2	2
