onset	duration	video	participant	session
1	1	sec-2116.avi	sub-18	ses-01
7	1	sec-178.avi	sub-05	ses-02
13	1	sec-2104.avi	sub-18	ses-01
19	1	sec-2036.avi	sub-18	ses-01
25	1	sec-2098.avi	sub-18	ses-01
31	1	sec-2175.avi	sub-18	ses-01
37	1	sec-131.avi	sub-05	ses-02
43	1	sec-2047.avi	sub-18	ses-01
49	1	sec-2066.avi	sub-18	ses-01
55	1	sec-2120.avi	sub-18	ses-01
61	1	sec-78.avi	sub-05	ses-02
67	1	sec-59.avi	sub-05	ses-02
73	1	sec-260.avi	sub-05	ses-02
79	1	sec-238.avi	sub-05	ses-02
85	1	sec-123.avi	sub-05	ses-02
91	1	sec-1941.avi	sub-18	ses-01
97	1	sec-2079.avi	sub-18	ses-01
103	1	sec-62.avi	sub-05	ses-02
109	1	sec-199.avi	sub-05	ses-02
115	1	sec-1963.avi	sub-18	ses-01
121	1	sec-2019.avi	sub-18	ses-01
127	1	sec-2185.avi	sub-18	ses-01
133	1	sec-188.avi	sub-05	ses-02
139	1	sec-2164.avi	sub-18	ses-01
145	1	sec-163.avi	sub-05	ses-02
151	1	sec-81.avi	sub-05	ses-02
157	1	sec-1864.avi	sub-18	ses-01
163	1	sec-38.avi	sub-05	ses-02
169	1	sec-23.avi	sub-05	ses-02
175	1	sec-1977.avi	sub-18	ses-01
181	1	sec-1879.avi	sub-18	ses-01
187	1	sec-1906.avi	sub-18	ses-01
193	1	sec-2012.avi	sub-18	ses-01
199	1	sec-2139.avi	sub-18	ses-01
205	1	sec-1888.avi	sub-18	ses-01
211	1	sec-215.avi	sub-05	ses-02
217	1	sec-1986.avi	sub-18	ses-01
223	1	sec-97.avi	sub-05	ses-02
229	1	sec-50.avi	sub-05	ses-02
235	1	sec-2143.avi	sub-18	ses-01
241	1	sec-14.avi	sub-05	ses-02
247	1	sec-246.avi	sub-05	ses-02
253	1	sec-116.avi	sub-05	ses-02
259	1	sec-2053.avi	sub-18	ses-01
265	1	sec-29.avi	sub-05	ses-02
271	1	sec-2003.avi	sub-18	ses-01
277	1	sec-149.avi	sub-05	ses-02
283	1	sec-1956.avi	sub-18	ses-01
289	1	sec-1990.avi	sub-18	ses-01
295	1	sec-107.avi	sub-05	ses-02
301	1	sec-2207.avi	sub-18	ses-01
307	1	sec-160.avi	sub-05	ses-02
313	1	sec-2192.avi	sub-18	ses-01
319	1	sec-1915.avi	sub-18	ses-01
325	1	sec-269.avi	sub-05	ses-02
331	1	sec-203.avi	sub-05	ses-02
337	1	sec-221.avi	sub-05	ses-02
