onset	duration	video	participant	session
1	1	sec-227.avi	sub-04	ses-01
7	1	sec-356.avi	sub-03	ses-01
13	1	sec-82.avi	sub-03	ses-01
19	1	sec-561.avi	sub-03	ses-01
25	1	sec-99.avi	sub-03	ses-01
31	1	sec-91.avi	sub-04	ses-01
37	1	sec-22.avi	sub-04	ses-01
43	1	sec-535.avi	sub-03	ses-01
49	1	sec-263.avi	sub-04	ses-01
55	1	sec-532.avi	sub-03	ses-01
61	1	sec-19.avi	sub-04	ses-01
67	1	sec-51.avi	sub-04	ses-01
73	1	sec-515.avi	sub-03	ses-01
79	1	sec-187.avi	sub-03	ses-01
85	1	sec-15.avi	sub-04	ses-01
91	1	sec-119.avi	sub-04	ses-01
97	1	sec-204.avi	sub-03	ses-01
103	1	sec-20.avi	sub-04	ses-01
109	1	sec-171.avi	sub-04	ses-01
115	1	sec-60.avi	sub-04	ses-01
121	1	sec-408.avi	sub-03	ses-01
127	1	sec-479.avi	sub-03	ses-01
133	1	sec-132.avi	sub-04	ses-01
139	1	sec-234.avi	sub-04	ses-01
145	1	sec-177.avi	sub-03	ses-01
151	1	sec-140.avi	sub-04	ses-01
157	1	sec-498.avi	sub-03	ses-01
163	1	sec-152.avi	sub-03	ses-01
169	1	sec-117.avi	sub-03	ses-01
175	1	sec-194.avi	sub-03	ses-01
181	1	sec-325.avi	sub-03	ses-01
187	1	sec-211.avi	sub-04	ses-01
193	1	sec-434.avi	sub-03	ses-01
199	1	sec-336.avi	sub-03	ses-01
205	1	sec-111.avi	sub-04	ses-01
211	1	sec-243.avi	sub-03	ses-01
217	1	sec-33.avi	sub-04	ses-01
223	1	sec-160.avi	sub-04	ses-01
229	1	sec-511.avi	sub-03	ses-01
235	1	sec-225.avi	sub-03	ses-01
241	1	sec-164.avi	sub-03	ses-01
247	1	sec-261.avi	sub-04	ses-01
253	1	sec-475.avi	sub-03	ses-01
259	1	sec-29.avi	sub-03	ses-01
265	1	sec-305.avi	sub-03	ses-01
271	1	sec-28.avi	sub-03	ses-01
277	1	sec-75.avi	sub-04	ses-01
283	1	sec-84.avi	sub-04	ses-01
289	1	sec-183.avi	sub-04	ses-01
295	1	sec-574.avi	sub-03	ses-01
301	1	sec-581.avi	sub-03	ses-01
307	1	sec-10.avi	sub-04	ses-01
313	1	sec-44.avi	sub-04	ses-01
319	1	sec-247.avi	sub-04	ses-01
325	1	sec-165.avi	sub-04	ses-01
331	1	sec-49.avi	sub-03	ses-01
