onset	duration	video	participant	session
1	1	sec-233.avi	sub-09	ses-01
7	1	sec-223.avi	sub-09	ses-01
13	1	sec-23.avi	sub-10	ses-01
19	1	sec-211.avi	sub-10	ses-01
25	1	sec-270.avi	sub-10	ses-01
31	1	sec-102.avi	sub-10	ses-01
37	1	sec-54.avi	sub-10	ses-01
43	1	sec-215.avi	sub-09	ses-01
49	1	sec-86.avi	sub-10	ses-01
55	1	sec-90.avi	sub-10	ses-01
61	1	sec-196.avi	sub-10	ses-01
67	1	sec-139.avi	sub-10	ses-01
73	1	sec-58.avi	sub-09	ses-01
79	1	sec-11.avi	sub-09	ses-01
85	1	sec-67.avi	sub-09	ses-01
91	1	sec-255.avi	sub-10	ses-01
97	1	sec-85.avi	sub-09	ses-01
103	1	sec-156.avi	sub-09	ses-01
109	1	sec-239.avi	sub-09	ses-01
115	1	sec-130.avi	sub-10	ses-01
121	1	sec-246.avi	sub-10	ses-01
127	1	sec-242.avi	sub-10	ses-01
133	1	sec-252.avi	sub-09	ses-01
139	1	sec-123.avi	sub-09	ses-01
145	1	sec-148.avi	sub-10	ses-01
151	1	sec-137.avi	sub-09	ses-01
157	1	sec-40.avi	sub-10	ses-01
163	1	sec-148.avi	sub-09	ses-01
169	1	sec-52.avi	sub-10	ses-01
175	1	sec-223.avi	sub-10	ses-01
181	1	sec-189.avi	sub-09	ses-01
187	1	sec-112.avi	sub-10	ses-01
193	1	sec-4.avi	sub-09	ses-01
199	1	sec-174.avi	sub-09	ses-01
205	1	sec-69.avi	sub-09	ses-01
211	1	sec-192.avi	sub-09	ses-01
217	1	sec-19.avi	sub-10	ses-01
223	1	sec-170.avi	sub-10	ses-01
229	1	sec-8.avi	sub-10	ses-01
235	1	sec-159.avi	sub-10	ses-01
241	1	sec-69.avi	sub-10	ses-01
247	1	sec-20.avi	sub-09	ses-01
253	1	sec-202.avi	sub-10	ses-01
259	1	sec-174.avi	sub-10	ses-01
265	1	sec-251.avi	sub-09	ses-01
271	1	sec-87.avi	sub-09	ses-01
277	1	sec-273.avi	sub-10	ses-01
283	1	sec-44.avi	sub-09	ses-01
289	1	sec-132.avi	sub-09	ses-01
295	1	sec-169.avi	sub-09	ses-01
301	1	sec-106.avi	sub-09	ses-01
307	1	sec-280.avi	sub-10	ses-01
313	1	sec-126.avi	sub-10	ses-01
