onset	duration	video	participant	session
1	1	sec-346.avi	sub-05	ses-01
7	1	sec-459.avi	sub-06	ses-01
13	1	sec-1395.avi	sub-06	ses-01
19	1	sec-1154.avi	sub-06	ses-01
25	1	sec-812.avi	sub-06	ses-01
31	1	sec-1341.avi	sub-06	ses-01
37	1	sec-1416.avi	sub-06	ses-01
43	1	sec-1325.avi	sub-06	ses-01
49	1	sec-1269.avi	sub-06	ses-01
55	1	sec-1138.avi	sub-05	ses-01
61	1	sec-676.avi	sub-05	ses-01
67	1	sec-1038.avi	sub-05	ses-01
73	1	sec-1337.avi	sub-05	ses-01
79	1	sec-1588.avi	sub-05	ses-01
85	1	sec-1159.avi	sub-06	ses-01
91	1	sec-846.avi	sub-05	ses-01
97	1	sec-873.avi	sub-06	ses-01
103	1	sec-1856.avi	sub-05	ses-01
109	1	sec-474.avi	sub-06	ses-01
115	1	sec-1451.avi	sub-05	ses-01
121	1	sec-95.avi	sub-05	ses-01
127	1	sec-982.avi	sub-05	ses-01
133	1	sec-344.avi	sub-06	ses-01
139	1	sec-1529.avi	sub-05	ses-01
145	1	sec-1435.avi	sub-05	ses-01
151	1	sec-840.avi	sub-05	ses-01
157	1	sec-1458.avi	sub-06	ses-01
163	1	sec-350.avi	sub-06	ses-01
169	1	sec-1238.avi	sub-05	ses-01
175	1	sec-61.avi	sub-06	ses-01
181	1	sec-388.avi	sub-05	ses-01
187	1	sec-1421.avi	sub-05	ses-01
193	1	sec-95.avi	sub-06	ses-01
199	1	sec-108.avi	sub-06	ses-01
205	1	sec-998.avi	sub-05	ses-01
211	1	sec-120.avi	sub-06	ses-01
217	1	sec-358.avi	sub-06	ses-01
223	1	sec-735.avi	sub-06	ses-01
229	1	sec-1788.avi	sub-05	ses-01
235	1	sec-805.avi	sub-06	ses-01
241	1	sec-543.avi	sub-05	ses-01
247	1	sec-973.avi	sub-05	ses-01
253	1	sec-1690.avi	sub-05	ses-01
259	1	sec-760.avi	sub-06	ses-01
265	1	sec-907.avi	sub-06	ses-01
271	1	sec-1669.avi	sub-05	ses-01
277	1	sec-1613.avi	sub-05	ses-01
283	1	sec-938.avi	sub-06	ses-01
289	1	sec-317.avi	sub-05	ses-01
295	1	sec-647.avi	sub-06	ses-01
301	1	sec-1368.avi	sub-06	ses-01
307	1	sec-1061.avi	sub-06	ses-01
313	1	sec-71.avi	sub-06	ses-01
319	1	sec-631.avi	sub-06	ses-01
325	1	sec-332.avi	sub-06	ses-01
331	1	sec-108.avi	sub-05	ses-01
337	1	sec-869.avi	sub-05	ses-01
343	1	sec-581.avi	sub-05	ses-01
349	1	sec-1051.avi	sub-05	ses-01
355	1	sec-661.avi	sub-05	ses-01
