	vid-1	vid-2	vid-3	vid-4	vid-5	vid-6	vid-7	vid-8	vid-9	vid-10	vid-11	vid-12	vid-13	vid-14	vid-15	vid-16	vid-17	vid-18	vid-19	vid-20	vid-21	vid-22	vid-23	vid-24	vid-25	vid-26	vid-27	vid-28	vid-29	vid-30	vid-31	vid-32	vid-33	vid-34	vid-35	vid-36	vid-37	vid-38	vid-39	vid-40	vid-41	vid-42	vid-43	vid-44	vid-45	vid-46	vid-47	vid-48	vid-49	vid-50	vid-51	vid-52	vid-53	vid-54	vid-55	vid-56	vid-57	vid-58	vid-59	vid-60	vid-61	vid-62	vid-63	vid-64	vid-65	vid-66	vid-67	vid-68	vid-69	vid-70	vid-71	vid-72	vid-73	vid-74	vid-75	vid-76	vid-77	vid-78	vid-79	vid-80	vid-81	vid-82	vid-83	vid-84	vid-85	vid-86	vid-87	vid-88	vid-89	vid-90	vid-91	vid-92	vid-93	vid-94	vid-95	vid-96	vid-97	vid-98	vid-99	vid-100	vid-101	vid-102	vid-103	vid-104	vid-105	vid-106	vid-107	vid-108	vid-109	vid-110	vid-111	vid-112	vid-113	vid-114	vid-115	vid-116	vid-117	vid-118	vid-119	vid-120	vid-121	vid-122	vid-123	vid-124	vid-125	vid-126	vid-127	vid-128	vid-129	vid-130	vid-131	vid-132	vid-133	vid-134	vid-135	vid-136	vid-137	vid-138	vid-139	vid-140	vid-141	vid-142	vid-143	vid-144	vid-145	vid-146	vid-147	vid-148	vid-149	vid-150	vid-151	vid-152	vid-153	vid-154	vid-155	vid-156	vid-157	vid-158	vid-159	vid-160	vid-161	vid-162	vid-163	vid-164	vid-165	vid-166	vid-167	vid-168	vid-169	vid-170	vid-171	vid-172	vid-173	vid-174	vid-175
vid-1	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
vid-2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
vid-3	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
vid-4	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
vid-5	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
vid-6	3.7063	NaN	3.7063	3.7063	3.7063	0.0000	3.7063	3.7063	1.4134	3.7063	3.0404	NaN	3.7063	3.7063	3.7063	1.4537	3.7063	3.7063	4.1621	12.6845	0.1103	12.6845	12.6845	2.3358	12.6845	12.6845	3.7063	3.7063	12.7937	12.7937	3.7063	12.7937	12.7937	3.7063	12.7937	3.7063	3.7063	8.4988	2.6887	1.4537	12.7937	1.3180	2.0661	3.2552	12.7937	5.7965	3.7063	12.7937	0.5588	1.4322	1.4322	3.7063	12.7353	12.7937	2.4339	12.7937	1.7770	12.7937	2.2168	12.7937	12.7937	3.7063	12.7937	3.7063	9.9662	3.8142	3.7063	12.7937	12.7937	12.7937	2.4339	12.7937	12.7937	12.7937	12.7937	12.7937	3921.8792	3911.3174	3858.6084	3920.3147	3908.6758	960.0230	957.3077	956.8721	960.1087	NaN	3923.1749	1.5059	3.0404	9.5991	3.7063	2.3933	5.0629	3.6299	2.4611	NaN	3.7063	3.7063	3.7063	3.6124	NaN	3.7063	3.8142	31.2771	3.6124	8.4988	2.5560	5.0629	3.6299	3.9176	0.2463	34.6456	NaN	34.6456	3.5207	5.0629	NaN	3.1975	1.7789	2.4611	2.5560	3.0404	31.2771	1.7088	31.2771	3.6299	NaN	3.6299	3.6299	3.6299	3.6124	2.6048	4.1621	5.0629	NaN	5.0629	2.6251	NaN	5.0629	5.0629	3.6299	3.6299	3.6299	5.0629	5.0001	4.1621	5.0629	5.0629	1.6402	4.5782	327.5432	0.2414	1.5059	1.5059	8.4988	108.2467	333.6005	327.5432	331.4628	1.5059	1.5059	0.2130	4.1621	1.3180	9.2237	0.3611	NaN	1.9982	31.1599	1.7967	1.6402	4.3037	3.7063	13.5980	3.7063
vid-7	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
vid-8	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
vid-9	2.6330	NaN	2.6330	2.6330	2.6330	1.4134	2.6330	2.6330	0.0000	2.6330	1.6272	NaN	2.6330	2.6330	2.6330	0.0821	2.6330	2.6330	3.0681	13.6814	1.4998	13.6814	13.6814	1.5018	13.6814	13.6814	2.6330	2.6330	13.7903	13.7903	2.6330	13.7903	13.7903	2.6330	13.7903	2.6330	2.6330	9.6715	1.3757	0.0821	13.7903	0.9247	2.5926	2.3675	13.7903	5.7537	2.6330	13.7903	1.2656	2.5146	2.5146	2.6330	12.9934	13.7903	1.9218	13.7903	2.5856	13.7903	3.2303	13.7903	13.7903	2.6330	13.7903	2.6330	11.0829	5.1555	2.6330	13.7903	13.7903	13.7903	1.9218	13.7903	13.7903	13.7903	13.7903	13.7903	3923.1864	3912.6314	3859.9390	3921.6217	3909.9896	961.2042	958.4911	958.0553	961.2899	NaN	3924.4819	2.8597	1.6272	8.5700	2.6330	3.4778	6.3131	4.9428	2.9246	NaN	2.6330	2.6330	2.6330	2.6256	NaN	2.6330	5.1555	32.5912	2.6256	9.6715	3.9124	6.3131	4.9428	5.1735	1.4719	35.9355	NaN	35.9355	4.8735	6.3131	NaN	2.2479	2.6307	2.9246	3.9124	1.6272	32.5912	1.0306	32.5912	4.9428	NaN	4.9428	4.9428	4.9428	2.6256	1.4770	3.0681	6.3131	NaN	6.3131	1.7659	NaN	6.3131	6.3131	4.9428	4.9428	4.9428	6.3131	3.6781	3.0681	6.3131	6.3131	3.0328	3.9768	326.3143	1.4545	2.8597	2.8597	9.6715	107.0636	332.3816	326.3143	330.2412	2.8597	2.8597	1.4880	3.0681	0.9247	10.6360	1.5696	NaN	0.7729	32.4729	2.8602	3.0328	3.7747	2.6330	15.0103	2.6330
vid-10	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
