video	time_from_scan	emotion	memory_strength	face_or_not	person_familiarity	place_familiarity
sec-268.avi	328	3	1	1	2	2
sec-269.avi	327	3	1	0	0	2
sec-270.avi	326	1	2	1	2	2
sec-271.avi	325	3	1	1	2	2
sec-272.avi	324	4	1	1	2	2
sec-273.avi	323	5	4	0	0	1
sec-274.avi	322	4	3	1	2	2
sec-275.avi	321	4	3	1	2	2
sec-276.avi	320	3	2	0	0	2
sec-277.avi	319	4	3	1	2	2
sec-278.avi	318	4	1	1	2	2
sec-279.avi	317	4	1	0	0	2
sec-280.avi	316	0	0	0	0	0
sec-281.avi	315	4	1	1	2	2
sec-282.avi	314	4	3	0	0	2
sec-283.avi	313	3	1	0	0	2
sec-284.avi	312	4	3	0	0	2
sec-285.avi	311	4	4	1	2	2
sec-286.avi	310	4	3	1	3	2
sec-287.avi	309	5	4	1	2	2
sec-289.avi	307	2	3	0	0	2
sec-290.avi	306	4	2	0	0	2
sec-291.avi	305	4	3	0	0	2
sec-292.avi	304	4	4	1	2	1
sec-293.avi	303	4	4	1	2	1
sec-294.avi	302	5	3	0	0	2
sec-295.avi	301	4	3	1	2	1
sec-296.avi	300	3	1	0	0	2
sec-297.avi	299	4	3	0	0	1
sec-298.avi	298	4	4	1	2	2
sec-299.avi	297	4	4	1	2	2
sec-300.avi	296	5	5	1	2	1
sec-301.avi	295	4	4	0	0	2
sec-302.avi	294	4	5	0	0	1
sec-304.avi	292	4	4	0	3	2
sec-305.avi	291	4	5	1	2	1
sec-306.avi	290	4	4	1	2	1
sec-307.avi	289	2	4	1	3	2
sec-308.avi	288	5	4	1	2	2
sec-309.avi	287	3	1	1	2	2
sec-310.avi	286	3	1	1	2	2
sec-311.avi	285	4	1	1	2	2
sec-312.avi	284	1	4	1	3	2
sec-313.avi	283	5	5	1	3	2
sec-314.avi	282	0	0	0	0	0
sec-315.avi	281	4	5	1	2	2
sec-316.avi	280	4	5	1	3	2
sec-317.avi	279	0	0	0	0	0
sec-318.avi	278	4	3	0	3	2
sec-319.avi	277	1	4	0	3	2
sec-320.avi	276	5	4	1	2	2
sec-321.avi	275	5	3	1	2	2
sec-323.avi	273	4	2	1	2	2
sec-324.avi	272	1	2	1	3	2
sec-325.avi	271	3	1	1	2	2
sec-327.avi	269	4	3	1	2	2
sec-328.avi	268	4	3	1	3	2
sec-329.avi	267	4	2	1	2	2
sec-330.avi	266	3	1	0	0	2
sec-331.avi	265	2	4	0	0	2
sec-332.avi	264	1	3	0	0	2
sec-333.avi	263	3	2	1	2	2
sec-334.avi	262	2	2	1	2	2
sec-335.avi	261	4	4	1	2	2
sec-336.avi	260	4	4	1	2	2
sec-337.avi	259	4	3	1	2	2
sec-338.avi	258	4	3	1	2	2
sec-339.avi	257	3	2	0	0	2
sec-340.avi	256	4	3	0	0	2
sec-341.avi	255	4	3	1	2	1
sec-342.avi	254	4	3	0	3	2
sec-343.avi	253	3	1	0	0	2
sec-344.avi	252	4	2	0	0	2
sec-345.avi	251	4	1	1	2	2
sec-346.avi	250	4	4	0	3	2
sec-347.avi	249	3	2	0	3	2
sec-348.avi	248	3	3	0	0	2
sec-349.avi	247	3	1	1	2	2
sec-350.avi	246	3	3	1	2	2
sec-351.avi	245	3	2	0	0	2
sec-352.avi	244	4	1	1	2	2
sec-353.avi	243	4	3	0	0	2
sec-354.avi	242	4	4	1	2	2
sec-355.avi	241	3	1	1	2	2
sec-356.avi	240	3	1	0	0	2
sec-357.avi	239	4	4	0	0	1
sec-358.avi	238	3	1	0	0	2
sec-359.avi	237	5	4	0	0	2
sec-360.avi	236	4	1	1	2	2
sec-361.avi	235	4	1	1	2	2
sec-362.avi	234	4	3	1	2	2
sec-363.avi	233	4	2	1	2	2
sec-364.avi	232	4	3	0	0	2
sec-365.avi	231	4	4	0	0	2
sec-366.avi	230	2	5	0	0	2
sec-367.avi	229	3	1	1	2	2
sec-368.avi	228	4	4	1	2	1
sec-369.avi	227	3	1	0	0	2
sec-371.avi	225	2	3	1	3	2
sec-372.avi	224	0	0	0	0	0
sec-374.avi	222	4	2	0	0	2
sec-375.avi	221	4	2	1	3	2
sec-376.avi	220	4	5	1	3	1
sec-377.avi	219	5	2	1	2	2
sec-378.avi	218	4	2	0	0	2
sec-379.avi	217	4	3	0	0	1
sec-380.avi	216	3	1	0	0	2
sec-381.avi	215	3	2	1	2	2
sec-382.avi	214	4	1	1	2	2
sec-384.avi	212	4	2	1	2	2
sec-385.avi	211	4	5	1	2	1
sec-386.avi	210	4	5	0	0	1
sec-387.avi	209	4	3	0	0	1
sec-388.avi	208	5	4	0	0	1
sec-389.avi	207	4	2	1	2	2
sec-390.avi	206	3	3	1	3	2
sec-391.avi	205	4	3	1	2	2
sec-392.avi	204	4	5	0	3	2
sec-393.avi	203	5	4	1	2	2
sec-394.avi	202	4	3	0	0	2
sec-395.avi	201	4	4	1	2	2
sec-396.avi	200	4	3	1	3	2
sec-397.avi	199	4	4	0	0	2
sec-398.avi	198	4	4	1	2	2
sec-399.avi	197	4	3	1	2	2
sec-401.avi	195	4	3	0	0	2
sec-402.avi	194	4	3	0	3	2
sec-403.avi	193	4	4	0	0	2
sec-404.avi	192	4	2	1	2	2
sec-405.avi	191	3	1	1	2	2
sec-406.avi	190	4	3	0	0	2
sec-407.avi	189	4	1	1	3	2
sec-408.avi	188	4	4	1	3	2
sec-409.avi	187	3	2	0	0	2
sec-410.avi	186	4	2	0	0	2
sec-411.avi	185	4	3	0	0	2
sec-412.avi	184	4	2	0	0	2
sec-413.avi	183	4	4	1	2	2
sec-414.avi	182	3	2	0	0	2
sec-415.avi	181	4	2	1	2	2
sec-416.avi	180	4	1	1	2	2
sec-418.avi	178	3	1	1	2	2
sec-419.avi	177	3	1	1	2	1
sec-420.avi	176	5	4	1	3	1
sec-421.avi	175	4	5	1	3	1
sec-422.avi	174	5	4	1	3	1
sec-424.avi	172	5	5	0	3	1
sec-426.avi	170	4	5	0	0	1
sec-428.avi	168	3	1	1	2	2
sec-429.avi	167	4	3	0	0	2
sec-430.avi	166	3	4	0	0	2
sec-431.avi	165	5	5	1	2	2
sec-432.avi	164	0	0	0	0	0
sec-433.avi	163	4	1	1	2	2
sec-435.avi	161	3	1	0	0	2
sec-436.avi	160	5	5	1	2	2
sec-437.avi	159	4	2	0	0	2
sec-438.avi	158	3	1	0	0	2
sec-439.avi	157	4	5	1	2	1
sec-440.avi	156	3	1	0	0	2
sec-441.avi	155	4	2	1	2	0
sec-442.avi	154	3	3	0	0	1
sec-443.avi	153	4	1	1	2	2
sec-444.avi	152	3	1	0	0	2
sec-445.avi	151	4	5	1	2	2
sec-447.avi	149	4	2	1	2	2
sec-448.avi	148	4	1	1	2	2
sec-449.avi	147	4	2	1	2	2
sec-450.avi	146	4	3	1	2	2
sec-451.avi	145	4	4	0	0	2
sec-452.avi	144	3	2	1	2	2
sec-453.avi	143	4	4	0	0	2
sec-454.avi	142	4	4	1	2	2
sec-455.avi	141	5	5	1	2	1
sec-456.avi	140	4	3	0	0	2
sec-457.avi	139	3	1	1	2	2
sec-458.avi	138	4	5	1	2	2
sec-459.avi	137	4	3	0	0	2
sec-460.avi	136	3	1	1	2	2
sec-461.avi	135	4	5	1	2	2
sec-462.avi	134	4	4	0	0	2
sec-463.avi	133	4	1	1	2	2
sec-464.avi	132	0	2	1	2	2
sec-465.avi	131	4	4	1	3	1
sec-466.avi	130	5	4	1	2	1
sec-467.avi	129	4	3	1	2	2
sec-468.avi	128	4	3	0	0	2
sec-469.avi	127	0	0	0	0	0
sec-470.avi	126	4	1	1	2	2
sec-471.avi	125	4	4	1	3	1
sec-473.avi	123	3	2	1	2	0
sec-474.avi	122	4	5	1	2	1
sec-475.avi	121	4	4	0	0	1
sec-477.avi	119	4	1	1	2	2
sec-478.avi	118	4	2	0	0	2
sec-479.avi	117	3	1	1	2	2
sec-480.avi	116	4	2	1	3	2
sec-481.avi	115	0	0	0	0	0
sec-482.avi	114	4	4	1	2	2
sec-483.avi	113	5	4	1	2	2
sec-484.avi	112	4	1	1	2	2
sec-485.avi	111	4	3	0	0	0
sec-486.avi	110	1	4	0	0	2
sec-487.avi	109	3	1	0	0	2
sec-488.avi	108	2	3	0	0	2
sec-489.avi	107	4	3	0	0	2
sec-490.avi	106	4	2	1	2	2
sec-492.avi	104	4	2	1	2	2
sec-493.avi	103	3	2	1	2	2
sec-494.avi	102	4	3	0	0	2
sec-495.avi	101	4	2	0	0	1
sec-496.avi	100	4	3	1	2	2
sec-497.avi	99	5	4	1	2	2
sec-498.avi	98	4	4	0	0	1
sec-499.avi	97	4	3	0	0	1
sec-500.avi	96	4	3	0	0	2
sec-501.avi	95	4	2	1	2	2
sec-502.avi	94	4	2	1	2	2
sec-503.avi	93	3	1	0	0	2
sec-504.avi	92	4	4	1	2	2
sec-505.avi	91	4	3	1	2	2
sec-506.avi	90	3	4	0	0	2
sec-507.avi	89	3	1	1	2	2
sec-508.avi	88	4	3	0	3	1
sec-509.avi	87	5	4	0	0	2
sec-510.avi	86	4	5	0	3	2
sec-511.avi	85	4	4	1	1	1
sec-513.avi	83	5	5	1	2	2
sec-514.avi	82	3	3	0	0	2
sec-515.avi	81	4	3	0	0	2
sec-516.avi	80	4	3	0	3	1
sec-517.avi	79	4	4	0	0	2
sec-518.avi	78	4	2	0	0	2
sec-519.avi	77	4	4	1	2	2
sec-521.avi	75	3	2	1	2	2
sec-522.avi	74	4	4	0	0	1
sec-523.avi	73	4	4	1	2	2
sec-524.avi	72	4	3	0	0	2
sec-525.avi	71	4	3	1	3	2
sec-526.avi	70	5	5	1	2	2
sec-527.avi	69	4	5	0	0	2
sec-528.avi	68	4	1	1	2	2
sec-529.avi	67	4	1	1	2	2
sec-530.avi	66	3	1	0	0	2
sec-531.avi	65	3	1	0	0	2
sec-533.avi	63	0	0	0	0	0
sec-534.avi	62	4	5	1	2	1
sec-536.avi	60	4	3	1	2	2
sec-537.avi	59	5	3	1	2	1
