onset	duration	video	participant	session
1	1	sec-318.avi	sub-15	ses-01
7	1	sec-94.avi	sub-16	ses-01
13	1	sec-235.avi	sub-16	ses-01
19	1	sec-7.avi	sub-16	ses-01
25	1	sec-314.avi	sub-15	ses-01
31	1	sec-66.avi	sub-16	ses-01
37	1	sec-85.avi	sub-16	ses-01
43	1	sec-106.avi	sub-16	ses-01
49	1	sec-993.avi	sub-15	ses-01
55	1	sec-134.avi	sub-16	ses-01
61	1	sec-951.avi	sub-15	ses-01
67	1	sec-1220.avi	sub-15	ses-01
73	1	sec-198.avi	sub-16	ses-01
79	1	sec-759.avi	sub-15	ses-01
85	1	sec-291.avi	sub-16	ses-01
91	1	sec-204.avi	sub-16	ses-01
97	1	sec-305.avi	sub-16	ses-01
103	1	sec-160.avi	sub-16	ses-01
109	1	sec-277.avi	sub-15	ses-01
115	1	sec-1298.avi	sub-15	ses-01
121	1	sec-314.avi	sub-16	ses-01
127	1	sec-852.avi	sub-15	ses-01
133	1	sec-263.avi	sub-15	ses-01
139	1	sec-653.avi	sub-15	ses-01
145	1	sec-1194.avi	sub-15	ses-01
151	1	sec-1207.avi	sub-15	ses-01
157	1	sec-211.avi	sub-16	ses-01
163	1	sec-919.avi	sub-15	ses-01
169	1	sec-105.avi	sub-15	ses-01
175	1	sec-844.avi	sub-15	ses-01
181	1	sec-22.avi	sub-16	ses-01
187	1	sec-344.avi	sub-16	ses-01
193	1	sec-735.avi	sub-15	ses-01
199	1	sec-230.avi	sub-16	ses-01
205	1	sec-275.avi	sub-16	ses-01
211	1	sec-564.avi	sub-15	ses-01
217	1	sec-340.avi	sub-16	ses-01
223	1	sec-32.avi	sub-16	ses-01
229	1	sec-425.avi	sub-15	ses-01
235	1	sec-935.avi	sub-15	ses-01
241	1	sec-1160.avi	sub-15	ses-01
247	1	sec-944.avi	sub-15	ses-01
253	1	sec-254.avi	sub-16	ses-01
259	1	sec-264.avi	sub-16	ses-01
265	1	sec-582.avi	sub-15	ses-01
271	1	sec-335.avi	sub-15	ses-01
277	1	sec-44.avi	sub-16	ses-01
283	1	sec-146.avi	sub-16	ses-01
289	1	sec-1105.avi	sub-15	ses-01
295	1	sec-18.avi	sub-16	ses-01
301	1	sec-36.avi	sub-15	ses-01
307	1	sec-231.avi	sub-15	ses-01
313	1	sec-115.avi	sub-16	ses-01
319	1	sec-55.avi	sub-16	ses-01
325	1	sec-466.avi	sub-15	ses-01
331	1	sec-875.avi	sub-15	ses-01
337	1	sec-251.avi	sub-16	ses-01
343	1	sec-288.avi	sub-16	ses-01
349	1	sec-141.avi	sub-16	ses-01
355	1	sec-679.avi	sub-15	ses-01
