onset	duration	video	participant	session
1	1	sec-850.avi	sub-15	ses-01
7	1	sec-1345.avi	sub-15	ses-01
13	1	sec-825.avi	sub-15	ses-01
19	1	sec-143.avi	sub-16	ses-01
25	1	sec-60.avi	sub-16	ses-01
31	1	sec-1215.avi	sub-15	ses-01
37	1	sec-132.avi	sub-16	ses-01
43	1	sec-297.avi	sub-16	ses-01
49	1	sec-942.avi	sub-15	ses-01
55	1	sec-245.avi	sub-16	ses-01
61	1	sec-776.avi	sub-15	ses-01
67	1	sec-280.avi	sub-16	ses-01
73	1	sec-2.avi	sub-16	ses-01
79	1	sec-35.avi	sub-16	ses-01
85	1	sec-1056.avi	sub-15	ses-01
91	1	sec-93.avi	sub-16	ses-01
97	1	sec-302.avi	sub-16	ses-01
103	1	sec-167.avi	sub-15	ses-01
109	1	sec-1244.avi	sub-15	ses-01
115	1	sec-259.avi	sub-16	ses-01
121	1	sec-364.avi	sub-15	ses-01
127	1	sec-996.avi	sub-15	ses-01
133	1	sec-281.avi	sub-15	ses-01
139	1	sec-559.avi	sub-15	ses-01
145	1	sec-8.avi	sub-16	ses-01
151	1	sec-164.avi	sub-16	ses-01
157	1	sec-150.avi	sub-16	ses-01
163	1	sec-274.avi	sub-16	ses-01
169	1	sec-1000.avi	sub-15	ses-01
175	1	sec-220.avi	sub-16	ses-01
181	1	sec-925.avi	sub-15	ses-01
187	1	sec-609.avi	sub-15	ses-01
193	1	sec-955.avi	sub-15	ses-01
199	1	sec-105.avi	sub-16	ses-01
205	1	sec-494.avi	sub-15	ses-01
211	1	sec-43.avi	sub-16	ses-01
217	1	sec-3.avi	sub-15	ses-01
223	1	sec-266.avi	sub-16	ses-01
229	1	sec-159.avi	sub-16	ses-01
235	1	sec-1181.avi	sub-15	ses-01
241	1	sec-203.avi	sub-15	ses-01
247	1	sec-327.avi	sub-16	ses-01
253	1	sec-346.avi	sub-15	ses-01
259	1	sec-99.avi	sub-15	ses-01
265	1	sec-118.avi	sub-16	ses-01
271	1	sec-71.avi	sub-16	ses-01
277	1	sec-193.avi	sub-16	ses-01
283	1	sec-174.avi	sub-16	ses-01
289	1	sec-186.avi	sub-16	ses-01
295	1	sec-444.avi	sub-15	ses-01
301	1	sec-891.avi	sub-15	ses-01
307	1	sec-236.avi	sub-16	ses-01
313	1	sec-228.avi	sub-16	ses-01
319	1	sec-112.avi	sub-16	ses-01
325	1	sec-691.avi	sub-15	ses-01
331	1	sec-1046.avi	sub-15	ses-01
337	1	sec-1311.avi	sub-15	ses-01
343	1	sec-58.avi	sub-16	ses-01
349	1	sec-739.avi	sub-15	ses-01
355	1	sec-578.avi	sub-15	ses-01
