onset	duration	video	participant	session
1	1	sec-564.avi	sub-09	ses-02
7	1	sec-301.avi	sub-09	ses-02
13	1	sec-334.avi	sub-09	ses-02
19	1	sec-410.avi	sub-09	ses-02
25	1	sec-455.avi	sub-04	ses-02
31	1	sec-560.avi	sub-04	ses-02
37	1	sec-371.avi	sub-04	ses-02
43	1	sec-571.avi	sub-09	ses-02
49	1	sec-328.avi	sub-04	ses-02
55	1	sec-311.avi	sub-04	ses-02
61	1	sec-444.avi	sub-04	ses-02
67	1	sec-277.avi	sub-04	ses-02
73	1	sec-515.avi	sub-04	ses-02
79	1	sec-429.avi	sub-04	ses-02
85	1	sec-261.avi	sub-09	ses-02
91	1	sec-533.avi	sub-09	ses-02
97	1	sec-370.avi	sub-09	ses-02
103	1	sec-507.avi	sub-09	ses-02
109	1	sec-470.avi	sub-09	ses-02
115	1	sec-478.avi	sub-04	ses-02
121	1	sec-478.avi	sub-09	ses-02
127	1	sec-403.avi	sub-04	ses-02
133	1	sec-577.avi	sub-04	ses-02
139	1	sec-385.avi	sub-09	ses-02
145	1	sec-461.avi	sub-09	ses-02
151	1	sec-289.avi	sub-04	ses-02
157	1	sec-441.avi	sub-04	ses-02
163	1	sec-366.avi	sub-09	ses-02
169	1	sec-592.avi	sub-04	ses-02
175	1	sec-322.avi	sub-09	ses-02
181	1	sec-328.avi	sub-09	ses-02
187	1	sec-498.avi	sub-09	ses-02
193	1	sec-265.avi	sub-09	ses-02
199	1	sec-518.avi	sub-04	ses-02
205	1	sec-494.avi	sub-04	ses-02
211	1	sec-390.avi	sub-09	ses-02
217	1	sec-282.avi	sub-09	ses-02
223	1	sec-466.avi	sub-04	ses-02
229	1	sec-431.avi	sub-09	ses-02
235	1	sec-291.avi	sub-09	ses-02
241	1	sec-404.avi	sub-09	ses-02
247	1	sec-453.avi	sub-09	ses-02
253	1	sec-282.avi	sub-04	ses-02
259	1	sec-342.avi	sub-04	ses-02
265	1	sec-515.avi	sub-09	ses-02
271	1	sec-347.avi	sub-09	ses-02
277	1	sec-323.avi	sub-04	ses-02
283	1	sec-351.avi	sub-04	ses-02
289	1	sec-415.avi	sub-04	ses-02
295	1	sec-436.avi	sub-09	ses-02
301	1	sec-555.avi	sub-09	ses-02
307	1	sec-302.avi	sub-04	ses-02
313	1	sec-527.avi	sub-09	ses-02
319	1	sec-539.avi	sub-04	ses-02
325	1	sec-573.avi	sub-04	ses-02
331	1	sec-365.avi	sub-04	ses-02
337	1	sec-500.avi	sub-04	ses-02
343	1	sec-380.avi	sub-04	ses-02
349	1	sec-394.avi	sub-04	ses-02
355	1	sec-306.avi	sub-09	ses-02
