onset	duration	video	participant	session
1	1	sec-1532.avi	sub-06	ses-02
7	1	sec-1472.avi	sub-06	ses-02
13	1	sec-1415.avi	sub-06	ses-02
19	1	sec-1204.avi	sub-07	ses-02
25	1	sec-1194.avi	sub-07	ses-02
31	1	sec-1657.avi	sub-06	ses-02
37	1	sec-1010.avi	sub-07	ses-02
43	1	sec-1701.avi	sub-06	ses-02
49	1	sec-1578.avi	sub-06	ses-02
55	1	sec-1031.avi	sub-07	ses-02
61	1	sec-1614.avi	sub-06	ses-02
67	1	sec-1155.avi	sub-07	ses-02
73	1	sec-1384.avi	sub-06	ses-02
79	1	sec-1170.avi	sub-07	ses-02
85	1	sec-996.avi	sub-07	ses-02
91	1	sec-1542.avi	sub-06	ses-02
97	1	sec-1179.avi	sub-07	ses-02
103	1	sec-1551.avi	sub-06	ses-02
109	1	sec-1057.avi	sub-07	ses-02
115	1	sec-1266.avi	sub-07	ses-02
121	1	sec-1243.avi	sub-07	ses-02
127	1	sec-1183.avi	sub-07	ses-02
133	1	sec-1146.avi	sub-07	ses-02
139	1	sec-1521.avi	sub-06	ses-02
145	1	sec-1427.avi	sub-06	ses-02
151	1	sec-1628.avi	sub-06	ses-02
157	1	sec-1091.avi	sub-07	ses-02
163	1	sec-1683.avi	sub-06	ses-02
169	1	sec-1219.avi	sub-07	ses-02
175	1	sec-1609.avi	sub-06	ses-02
181	1	sec-1592.avi	sub-06	ses-02
187	1	sec-1665.avi	sub-06	ses-02
193	1	sec-1226.avi	sub-07	ses-02
199	1	sec-1002.avi	sub-07	ses-02
205	1	sec-1737.avi	sub-06	ses-02
211	1	sec-1710.avi	sub-06	ses-02
217	1	sec-1088.avi	sub-07	ses-02
223	1	sec-1076.avi	sub-07	ses-02
229	1	sec-1022.avi	sub-07	ses-02
235	1	sec-1399.avi	sub-06	ses-02
241	1	sec-1241.avi	sub-07	ses-02
247	1	sec-934.avi	sub-07	ses-02
253	1	sec-1360.avi	sub-06	ses-02
259	1	sec-1141.avi	sub-07	ses-02
265	1	sec-1256.avi	sub-07	ses-02
271	1	sec-1065.avi	sub-07	ses-02
277	1	sec-1114.avi	sub-07	ses-02
283	1	sec-1453.avi	sub-06	ses-02
289	1	sec-1476.avi	sub-06	ses-02
295	1	sec-1716.avi	sub-06	ses-02
301	1	sec-1048.avi	sub-07	ses-02
307	1	sec-1376.avi	sub-06	ses-02
313	1	sec-1352.avi	sub-06	ses-02
319	1	sec-1103.avi	sub-07	ses-02
325	1	sec-1558.avi	sub-06	ses-02
331	1	sec-1278.avi	sub-07	ses-02
337	1	sec-1126.avi	sub-07	ses-02
343	1	sec-1581.avi	sub-06	ses-02
349	1	sec-1640.avi	sub-06	ses-02
355	1	sec-1437.avi	sub-06	ses-02
