onset	duration	video	participant	session
1	1	sec-1187.avi	sub-07	ses-02
7	1	sec-1089.avi	sub-07	ses-02
13	1	sec-1571.avi	sub-06	ses-02
19	1	sec-1291.avi	sub-07	ses-02
25	1	sec-1075.avi	sub-07	ses-02
31	1	sec-1406.avi	sub-06	ses-02
37	1	sec-1530.avi	sub-06	ses-02
43	1	sec-1059.avi	sub-07	ses-02
49	1	sec-1265.avi	sub-07	ses-02
55	1	sec-1589.avi	sub-06	ses-02
61	1	sec-1049.avi	sub-07	ses-02
67	1	sec-1210.avi	sub-07	ses-02
73	1	sec-932.avi	sub-07	ses-02
79	1	sec-978.avi	sub-07	ses-02
85	1	sec-1670.avi	sub-06	ses-02
91	1	sec-1361.avi	sub-06	ses-02
97	1	sec-1560.avi	sub-06	ses-02
103	1	sec-1435.avi	sub-06	ses-02
109	1	sec-1631.avi	sub-06	ses-02
115	1	sec-1702.avi	sub-06	ses-02
121	1	sec-1003.avi	sub-07	ses-02
127	1	sec-1715.avi	sub-06	ses-02
133	1	sec-1160.avi	sub-07	ses-02
139	1	sec-1036.avi	sub-07	ses-02
145	1	sec-1096.avi	sub-07	ses-02
151	1	sec-1167.avi	sub-07	ses-02
157	1	sec-1463.avi	sub-06	ses-02
163	1	sec-1234.avi	sub-07	ses-02
169	1	sec-1465.avi	sub-06	ses-02
175	1	sec-1247.avi	sub-07	ses-02
181	1	sec-1133.avi	sub-07	ses-02
187	1	sec-1259.avi	sub-07	ses-02
193	1	sec-1106.avi	sub-07	ses-02
199	1	sec-1347.avi	sub-06	ses-02
205	1	sec-1733.avi	sub-06	ses-02
211	1	sec-1602.avi	sub-06	ses-02
217	1	sec-1392.avi	sub-06	ses-02
223	1	sec-1367.avi	sub-06	ses-02
229	1	sec-1131.avi	sub-07	ses-02
235	1	sec-1549.avi	sub-06	ses-02
241	1	sec-1656.avi	sub-06	ses-02
247	1	sec-1700.avi	sub-06	ses-02
253	1	sec-1617.avi	sub-06	ses-02
259	1	sec-1024.avi	sub-07	ses-02
265	1	sec-1424.avi	sub-06	ses-02
271	1	sec-1218.avi	sub-07	ses-02
277	1	sec-1519.avi	sub-06	ses-02
283	1	sec-1067.avi	sub-07	ses-02
289	1	sec-1144.avi	sub-07	ses-02
295	1	sec-1647.avi	sub-06	ses-02
301	1	sec-1606.avi	sub-06	ses-02
307	1	sec-1193.avi	sub-07	ses-02
313	1	sec-1511.avi	sub-06	ses-02
319	1	sec-1400.avi	sub-06	ses-02
325	1	sec-1015.avi	sub-07	ses-02
331	1	sec-1181.avi	sub-07	ses-02
337	1	sec-1230.avi	sub-07	ses-02
343	1	sec-1681.avi	sub-06	ses-02
349	1	sec-1116.avi	sub-07	ses-02
355	1	sec-1544.avi	sub-06	ses-02
