onset	duration	video	participant	session
1	1	sec-10.avi	sub-10	ses-02
7	1	sec-586.avi	sub-22	ses-01
13	1	sec-414.avi	sub-22	ses-01
19	1	sec-188.avi	sub-10	ses-02
25	1	sec-334.avi	sub-22	ses-01
31	1	sec-497.avi	sub-22	ses-01
37	1	sec-162.avi	sub-10	ses-02
43	1	sec-153.avi	sub-10	ses-02
49	1	sec-401.avi	sub-22	ses-01
55	1	sec-444.avi	sub-22	ses-01
61	1	sec-391.avi	sub-22	ses-01
67	1	sec-632.avi	sub-22	ses-01
73	1	sec-286.avi	sub-22	ses-01
79	1	sec-238.avi	sub-10	ses-02
85	1	sec-564.avi	sub-22	ses-01
91	1	sec-509.avi	sub-22	ses-01
97	1	sec-615.avi	sub-22	ses-01
103	1	sec-351.avi	sub-22	ses-01
109	1	sec-137.avi	sub-10	ses-02
115	1	sec-4.avi	sub-10	ses-02
121	1	sec-128.avi	sub-10	ses-02
127	1	sec-433.avi	sub-22	ses-01
133	1	sec-57.avi	sub-10	ses-02
139	1	sec-465.avi	sub-22	ses-01
145	1	sec-418.avi	sub-22	ses-01
151	1	sec-224.avi	sub-10	ses-02
157	1	sec-93.avi	sub-10	ses-02
163	1	sec-453.avi	sub-22	ses-01
169	1	sec-324.avi	sub-22	ses-01
175	1	sec-303.avi	sub-22	ses-01
181	1	sec-149.avi	sub-10	ses-02
187	1	sec-495.avi	sub-22	ses-01
193	1	sec-226.avi	sub-10	ses-02
199	1	sec-70.avi	sub-10	ses-02
205	1	sec-66.avi	sub-10	ses-02
211	1	sec-530.avi	sub-22	ses-01
217	1	sec-546.avi	sub-22	ses-01
223	1	sec-209.avi	sub-10	ses-02
229	1	sec-258.avi	sub-10	ses-02
235	1	sec-384.avi	sub-22	ses-01
241	1	sec-119.avi	sub-10	ses-02
247	1	sec-318.avi	sub-22	ses-01
253	1	sec-618.avi	sub-22	ses-01
259	1	sec-296.avi	sub-22	ses-01
265	1	sec-31.avi	sub-10	ses-02
271	1	sec-375.avi	sub-22	ses-01
277	1	sec-115.avi	sub-10	ses-02
283	1	sec-191.avi	sub-10	ses-02
289	1	sec-603.avi	sub-22	ses-01
295	1	sec-82.avi	sub-10	ses-02
301	1	sec-357.avi	sub-22	ses-01
307	1	sec-525.avi	sub-22	ses-01
313	1	sec-48.avi	sub-10	ses-02
319	1	sec-172.avi	sub-10	ses-02
325	1	sec-249.avi	sub-10	ses-02
331	1	sec-204.avi	sub-10	ses-02
