onset	duration	video	participant	session
1	1	sec-115.avi	sub-06	ses-01
7	1	sec-594.avi	sub-06	ses-01
13	1	sec-1162.avi	sub-05	ses-01
19	1	sec-985.avi	sub-05	ses-01
25	1	sec-487.avi	sub-05	ses-01
31	1	sec-1819.avi	sub-05	ses-01
37	1	sec-181.avi	sub-06	ses-01
43	1	sec-864.avi	sub-06	ses-01
49	1	sec-981.avi	sub-05	ses-01
55	1	sec-439.avi	sub-05	ses-01
61	1	sec-345.avi	sub-06	ses-01
67	1	sec-627.avi	sub-05	ses-01
73	1	sec-844.avi	sub-05	ses-01
79	1	sec-957.avi	sub-06	ses-01
85	1	sec-138.avi	sub-05	ses-01
91	1	sec-979.avi	sub-06	ses-01
97	1	sec-264.avi	sub-06	ses-01
103	1	sec-1490.avi	sub-05	ses-01
109	1	sec-930.avi	sub-05	ses-01
115	1	sec-325.avi	sub-06	ses-01
121	1	sec-829.avi	sub-06	ses-01
127	1	sec-124.avi	sub-06	ses-01
133	1	sec-116.avi	sub-05	ses-01
139	1	sec-646.avi	sub-06	ses-01
145	1	sec-1176.avi	sub-05	ses-01
151	1	sec-1439.avi	sub-06	ses-01
157	1	sec-1716.avi	sub-05	ses-01
163	1	sec-1448.avi	sub-05	ses-01
169	1	sec-1534.avi	sub-05	ses-01
175	1	sec-1111.avi	sub-06	ses-01
181	1	sec-1198.avi	sub-06	ses-01
187	1	sec-599.avi	sub-06	ses-01
193	1	sec-896.avi	sub-06	ses-01
199	1	sec-866.avi	sub-05	ses-01
205	1	sec-185.avi	sub-05	ses-01
211	1	sec-234.avi	sub-06	ses-01
217	1	sec-1781.avi	sub-05	ses-01
223	1	sec-177.avi	sub-05	ses-01
229	1	sec-584.avi	sub-05	ses-01
235	1	sec-1031.avi	sub-05	ses-01
241	1	sec-1160.avi	sub-06	ses-01
247	1	sec-991.avi	sub-05	ses-01
253	1	sec-498.avi	sub-06	ses-01
259	1	sec-64.avi	sub-06	ses-01
265	1	sec-1452.avi	sub-06	ses-01
271	1	sec-151.avi	sub-06	ses-01
277	1	sec-753.avi	sub-06	ses-01
283	1	sec-1063.avi	sub-05	ses-01
289	1	sec-1018.avi	sub-06	ses-01
295	1	sec-1466.avi	sub-05	ses-01
301	1	sec-877.avi	sub-05	ses-01
307	1	sec-153.avi	sub-06	ses-01
313	1	sec-683.avi	sub-06	ses-01
319	1	sec-1592.avi	sub-05	ses-01
325	1	sec-906.avi	sub-06	ses-01
331	1	sec-400.avi	sub-06	ses-01
337	1	sec-1291.avi	sub-06	ses-01
343	1	sec-293.avi	sub-05	ses-01
349	1	sec-202.avi	sub-05	ses-01
355	1	sec-25.avi	sub-05	ses-01
