onset	duration	video	participant	session
1	1	sec-231.avi	sub-09	ses-01
7	1	sec-199.avi	sub-09	ses-01
13	1	sec-208.avi	sub-09	ses-01
19	1	sec-43.avi	sub-10	ses-01
25	1	sec-55.avi	sub-09	ses-01
31	1	sec-245.avi	sub-09	ses-01
37	1	sec-207.avi	sub-10	ses-01
43	1	sec-214.avi	sub-10	ses-01
49	1	sec-109.avi	sub-09	ses-01
55	1	sec-32.avi	sub-09	ses-01
61	1	sec-88.avi	sub-09	ses-01
67	1	sec-238.avi	sub-10	ses-01
73	1	sec-108.avi	sub-10	ses-01
79	1	sec-62.avi	sub-10	ses-01
85	1	sec-100.avi	sub-09	ses-01
91	1	sec-6.avi	sub-09	ses-01
97	1	sec-79.avi	sub-10	ses-01
103	1	sec-226.avi	sub-10	ses-01
109	1	sec-268.avi	sub-10	ses-01
115	1	sec-135.avi	sub-09	ses-01
121	1	sec-181.avi	sub-09	ses-01
127	1	sec-59.avi	sub-10	ses-01
133	1	sec-168.avi	sub-10	ses-01
139	1	sec-184.avi	sub-10	ses-01
145	1	sec-25.avi	sub-10	ses-01
151	1	sec-171.avi	sub-09	ses-01
157	1	sec-99.avi	sub-09	ses-01
163	1	sec-161.avi	sub-09	ses-01
169	1	sec-44.avi	sub-10	ses-01
175	1	sec-133.avi	sub-09	ses-01
181	1	sec-45.avi	sub-09	ses-01
187	1	sec-29.avi	sub-09	ses-01
193	1	sec-162.avi	sub-10	ses-01
199	1	sec-164.avi	sub-09	ses-01
205	1	sec-151.avi	sub-10	ses-01
211	1	sec-279.avi	sub-10	ses-01
217	1	sec-194.avi	sub-10	ses-01
223	1	sec-176.avi	sub-10	ses-01
229	1	sec-146.avi	sub-09	ses-01
235	1	sec-96.avi	sub-10	ses-01
241	1	sec-134.avi	sub-10	ses-01
247	1	sec-281.avi	sub-10	ses-01
253	1	sec-259.avi	sub-10	ses-01
259	1	sec-197.avi	sub-09	ses-01
265	1	sec-88.avi	sub-10	ses-01
271	1	sec-137.avi	sub-10	ses-01
277	1	sec-218.avi	sub-10	ses-01
283	1	sec-120.avi	sub-10	ses-01
289	1	sec-107.avi	sub-10	ses-01
295	1	sec-12.avi	sub-09	ses-01
301	1	sec-77.avi	sub-09	ses-01
307	1	sec-219.avi	sub-09	ses-01
313	1	sec-84.avi	sub-09	ses-01
