onset	duration	video	participant	session
1	1	sec-155.avi	sub-11	ses-01
7	1	sec-184.avi	sub-11	ses-01
13	1	sec-700.avi	sub-12	ses-01
19	1	sec-1158.avi	sub-12	ses-01
25	1	sec-100.avi	sub-11	ses-01
31	1	sec-208.avi	sub-11	ses-01
37	1	sec-431.avi	sub-12	ses-01
43	1	sec-975.avi	sub-12	ses-01
49	1	sec-177.avi	sub-11	ses-01
55	1	sec-531.avi	sub-12	ses-01
61	1	sec-312.avi	sub-11	ses-01
67	1	sec-31.avi	sub-11	ses-01
73	1	sec-75.avi	sub-12	ses-01
79	1	sec-55.avi	sub-11	ses-01
85	1	sec-64.avi	sub-12	ses-01
91	1	sec-37.avi	sub-11	ses-01
97	1	sec-258.avi	sub-12	ses-01
103	1	sec-221.avi	sub-11	ses-01
109	1	sec-295.avi	sub-11	ses-01
115	1	sec-380.avi	sub-12	ses-01
121	1	sec-692.avi	sub-12	ses-01
127	1	sec-278.avi	sub-11	ses-01
133	1	sec-239.avi	sub-11	ses-01
139	1	sec-17.avi	sub-12	ses-01
145	1	sec-268.avi	sub-11	ses-01
151	1	sec-292.avi	sub-11	ses-01
157	1	sec-729.avi	sub-12	ses-01
163	1	sec-131.avi	sub-12	ses-01
169	1	sec-218.avi	sub-11	ses-01
175	1	sec-909.avi	sub-12	ses-01
181	1	sec-702.avi	sub-12	ses-01
187	1	sec-955.avi	sub-12	ses-01
193	1	sec-286.avi	sub-12	ses-01
199	1	sec-331.avi	sub-12	ses-01
205	1	sec-256.avi	sub-11	ses-01
211	1	sec-237.avi	sub-11	ses-01
217	1	sec-238.avi	sub-12	ses-01
223	1	sec-9.avi	sub-12	ses-01
229	1	sec-7.avi	sub-11	ses-01
235	1	sec-257.avi	sub-11	ses-01
241	1	sec-1054.avi	sub-12	ses-01
247	1	sec-142.avi	sub-11	ses-01
253	1	sec-123.avi	sub-11	ses-01
259	1	sec-126.avi	sub-11	ses-01
265	1	sec-1049.avi	sub-12	ses-01
271	1	sec-773.avi	sub-12	ses-01
277	1	sec-1108.avi	sub-12	ses-01
283	1	sec-40.avi	sub-12	ses-01
289	1	sec-162.avi	sub-11	ses-01
295	1	sec-819.avi	sub-12	ses-01
301	1	sec-51.avi	sub-11	ses-01
307	1	sec-174.avi	sub-11	ses-01
313	1	sec-684.avi	sub-12	ses-01
319	1	sec-212.avi	sub-12	ses-01
325	1	sec-1106.avi	sub-12	ses-01
331	1	sec-1135.avi	sub-12	ses-01
337	1	sec-95.avi	sub-11	ses-01
343	1	sec-112.avi	sub-11	ses-01
349	1	sec-324.avi	sub-11	ses-01
355	1	sec-84.avi	sub-11	ses-01
