video	time_from_scan	emotion	memory_strength	face_or_not	person_familiarity	place_familiarity
sec-3.avi	1502	4	2	1	2	2
sec-5.avi	1500	3	2	1	2	2
sec-8.avi	1497	3	2	0	0	2
sec-20.avi	1485	5	3	0	0	2
sec-50.avi	1455	3	1	1	2	2
sec-59.avi	1446	3	1	1	2	2
sec-61.avi	1444	4	2	1	2	2
sec-63.avi	1442	2	1	0	0	2
sec-64.avi	1441	2	2	1	2	2
sec-71.avi	1434	3	1	0	0	2
sec-72.avi	1433	3	1	0	0	2
sec-81.avi	1424	2	1	0	0	2
sec-83.avi	1422	3	2	0	0	0
sec-85.avi	1420	1	4	1	2	1
sec-86.avi	1419	4	2	0	0	2
sec-90.avi	1415	3	1	1	2	0
sec-94.avi	1411	4	1	1	2	2
sec-95.avi	1410	3	4	1	2	2
sec-97.avi	1408	3	1	1	2	2
sec-99.avi	1406	3	2	0	0	1
sec-108.avi	1397	5	3	1	2	2
sec-114.avi	1391	4	2	1	2	2
sec-115.avi	1390	5	2	1	2	2
sec-117.avi	1388	2	1	0	0	2
sec-120.avi	1385	5	4	1	2	2
sec-123.avi	1382	3	1	1	2	2
sec-124.avi	1381	5	4	1	3	2
sec-134.avi	1371	4	2	1	2	2
sec-144.avi	1361	4	3	1	2	2
sec-146.avi	1359	4	3	1	2	2
sec-151.avi	1354	4	2	1	2	2
sec-153.avi	1352	4	3	1	2	2
sec-158.avi	1347	3	1	1	2	2
sec-159.avi	1346	3	1	0	0	2
sec-163.avi	1342	4	1	1	2	2
sec-166.avi	1339	3	1	1	2	2
sec-169.avi	1336	4	1	1	2	2
sec-174.avi	1331	4	3	1	2	2
sec-176.avi	1329	4	1	1	2	2
sec-181.avi	1324	4	2	1	3	2
sec-189.avi	1316	5	5	1	1	1
sec-208.avi	1297	3	2	0	0	0
sec-212.avi	1293	5	4	1	2	2
sec-213.avi	1292	4	2	1	2	2
sec-215.avi	1290	3	1	1	2	2
sec-223.avi	1282	3	1	1	2	0
sec-225.avi	1280	3	2	0	0	1
sec-229.avi	1276	4	2	1	2	2
sec-231.avi	1274	5	1	1	2	2
sec-234.avi	1271	3	1	1	2	2
sec-236.avi	1269	4	2	1	2	1
sec-237.avi	1268	5	3	1	2	1
