video	time_from_scan	emotion	memory_strength	face_or_not	person_familiarity	place_familiarity
sec-1346.avi	405	4	2	1	2	2
sec-1347.avi	404	3	1	1	2	2
sec-1348.avi	403	4	1	1	2	2
sec-1349.avi	402	3	1	1	2	2
sec-1350.avi	401	4	1	1	2	2
sec-1351.avi	400	4	1	1	2	2
sec-1352.avi	399	4	1	1	2	2
sec-1353.avi	398	4	2	1	2	2
sec-1354.avi	397	5	2	1	2	2
sec-1355.avi	396	3	1	1	2	2
sec-1356.avi	395	4	1	1	2	2
sec-1357.avi	394	3	1	1	2	2
sec-1358.avi	393	4	2	1	2	2
sec-1359.avi	392	3	1	1	2	2
sec-1360.avi	391	4	1	1	2	2
sec-1361.avi	390	5	1	1	2	2
sec-1362.avi	389	5	1	1	2	2
sec-1363.avi	388	5	1	1	2	0
sec-1364.avi	387	4	3	1	2	2
sec-1365.avi	386	3	2	1	2	2
sec-1366.avi	385	4	2	1	2	2
sec-1367.avi	384	5	2	1	2	2
sec-1370.avi	381	4	2	1	2	2
sec-1371.avi	380	4	2	1	2	2
sec-1372.avi	379	4	1	1	2	2
sec-1374.avi	377	4	2	1	2	2
sec-1375.avi	376	4	3	1	2	2
sec-1376.avi	375	3	1	1	2	2
sec-1377.avi	374	3	1	1	2	2
sec-1378.avi	373	4	2	1	2	2
sec-1379.avi	372	5	1	1	2	2
sec-1381.avi	370	3	1	1	2	2
sec-1382.avi	369	4	1	1	2	2
sec-1383.avi	368	5	2	1	2	2
sec-1384.avi	367	3	1	1	2	2
sec-1387.avi	364	5	2	1	2	2
sec-1388.avi	363	4	2	1	2	2
sec-1389.avi	362	3	2	1	2	2
sec-1390.avi	361	5	1	1	2	2
sec-1392.avi	359	4	2	1	2	2
sec-1393.avi	358	4	1	1	2	2
sec-1394.avi	357	4	1	1	2	2
sec-1397.avi	354	3	1	1	2	1
sec-1398.avi	353	3	1	1	2	1
sec-1399.avi	352	4	1	1	2	1
sec-1400.avi	351	3	1	1	2	1
sec-1403.avi	348	4	1	1	2	0
sec-1404.avi	347	5	3	1	2	2
sec-1405.avi	346	5	1	1	2	2
sec-1406.avi	345	5	1	1	2	1
sec-1408.avi	343	4	2	1	2	2
sec-1409.avi	342	5	1	1	2	2
sec-1410.avi	341	4	1	1	2	2
sec-1412.avi	339	4	2	1	2	2
sec-1413.avi	338	4	1	1	2	2
sec-1415.avi	336	4	1	1	2	2
sec-1417.avi	334	3	1	1	2	2
sec-1418.avi	333	5	1	1	2	2
sec-1419.avi	332	5	1	1	2	2
sec-1421.avi	330	3	1	1	2	2
sec-1422.avi	329	3	1	1	2	2
sec-1423.avi	328	3	1	1	2	2
sec-1424.avi	327	3	1	1	2	2
sec-1425.avi	326	3	1	1	2	2
sec-1427.avi	324	4	1	1	2	2
sec-1428.avi	323	5	3	1	2	2
sec-1430.avi	321	4	2	1	2	1
sec-1432.avi	319	4	1	1	2	1
sec-1433.avi	318	5	5	0	0	2
sec-1434.avi	317	3	1	1	2	2
sec-1435.avi	316	4	1	1	2	2
sec-1436.avi	315	5	3	1	2	2
sec-1437.avi	314	3	1	1	2	2
sec-1438.avi	313	5	2	1	2	2
sec-1440.avi	311	4	2	1	2	2
sec-1442.avi	309	5	3	1	2	2
sec-1446.avi	305	4	2	1	2	2
sec-1448.avi	303	4	1	1	2	2
sec-1450.avi	301	3	3	1	2	1
sec-1451.avi	300	5	2	1	2	2
sec-1453.avi	298	4	2	1	2	2
sec-1454.avi	297	3	1	1	2	2
sec-1456.avi	295	3	1	1	2	2
sec-1457.avi	294	3	1	1	2	2
sec-1461.avi	290	4	3	1	2	1
sec-1462.avi	289	5	2	1	2	1
sec-1463.avi	288	4	2	1	2	1
sec-1464.avi	287	5	2	1	2	1
sec-1465.avi	286	5	2	1	2	1
sec-1466.avi	285	4	2	1	2	1
sec-1467.avi	284	5	2	1	2	1
sec-1468.avi	283	3	1	1	2	2
sec-1469.avi	282	3	1	1	2	2
sec-1470.avi	281	3	1	1	2	2
sec-1471.avi	280	4	2	1	2	2
sec-1472.avi	279	4	1	1	2	2
sec-1473.avi	278	5	4	1	2	2
sec-1474.avi	277	4	1	1	2	2
sec-1475.avi	276	3	2	1	2	2
sec-1476.avi	275	3	1	1	2	2
sec-1477.avi	274	4	2	1	2	2
sec-1478.avi	273	4	1	1	2	2
sec-1511.avi	240	3	1	1	2	2
sec-1512.avi	239	3	1	1	2	2
sec-1513.avi	238	3	1	1	2	2
sec-1514.avi	237	4	2	1	2	1
sec-1515.avi	236	3	1	1	2	2
sec-1516.avi	235	3	1	1	2	2
sec-1517.avi	234	3	1	1	2	2
sec-1518.avi	233	4	1	1	2	2
sec-1519.avi	232	5	1	1	2	2
sec-1520.avi	231	4	1	1	2	2
sec-1521.avi	230	4	2	1	2	2
sec-1522.avi	229	3	1	1	2	2
sec-1523.avi	228	4	2	1	2	2
sec-1524.avi	227	4	1	1	2	2
sec-1525.avi	226	4	1	1	2	2
sec-1526.avi	225	4	1	1	2	2
sec-1527.avi	224	4	2	1	2	2
sec-1528.avi	223	4	3	1	2	1
sec-1529.avi	222	3	1	1	2	2
sec-1530.avi	221	4	2	1	2	1
sec-1531.avi	220	4	2	1	2	1
sec-1532.avi	219	4	2	1	2	2
sec-1533.avi	218	4	2	1	2	1
sec-1534.avi	217	4	1	1	2	1
sec-1535.avi	216	4	1	1	2	2
sec-1536.avi	215	4	1	1	2	2
sec-1537.avi	214	5	1	1	2	2
sec-1538.avi	213	5	1	1	2	2
sec-1539.avi	212	3	1	1	2	2
sec-1540.avi	211	4	2	1	2	2
sec-1541.avi	210	3	1	1	2	2
sec-1542.avi	209	4	1	1	2	2
sec-1543.avi	208	4	1	1	2	2
sec-1544.avi	207	3	1	1	2	2
sec-1545.avi	206	4	1	1	2	2
sec-1546.avi	205	3	1	1	2	2
sec-1547.avi	204	5	2	1	2	2
sec-1548.avi	203	4	2	1	2	1
sec-1549.avi	202	4	1	1	2	2
sec-1550.avi	201	4	2	1	2	2
sec-1551.avi	200	5	3	1	2	2
sec-1552.avi	199	3	1	1	2	2
sec-1553.avi	198	4	3	1	2	2
sec-1554.avi	197	4	2	1	2	1
sec-1555.avi	196	3	1	1	2	2
sec-1556.avi	195	4	1	1	2	2
sec-1557.avi	194	4	2	1	2	2
sec-1558.avi	193	3	1	1	2	2
sec-1559.avi	192	5	1	1	2	2
sec-1560.avi	191	5	3	1	2	2
sec-1562.avi	189	5	3	1	2	2
sec-1564.avi	187	4	2	1	2	1
sec-1565.avi	186	5	3	1	2	2
sec-1567.avi	184	3	1	1	2	2
sec-1569.avi	182	3	1	1	2	0
sec-1570.avi	181	3	1	1	2	2
sec-1571.avi	180	4	1	1	2	1
sec-1572.avi	179	4	1	1	2	2
sec-1573.avi	178	5	3	1	2	2
sec-1574.avi	177	4	2	1	2	1
sec-1575.avi	176	4	1	1	2	2
sec-1576.avi	175	4	1	1	2	2
sec-1577.avi	174	3	1	1	2	2
sec-1578.avi	173	5	1	1	2	2
sec-1579.avi	172	3	1	1	2	2
sec-1580.avi	171	3	1	1	2	2
sec-1581.avi	170	3	1	1	2	2
sec-1582.avi	169	3	1	1	2	2
sec-1583.avi	168	3	1	1	2	2
sec-1584.avi	167	5	2	1	2	2
sec-1585.avi	166	3	3	1	2	2
sec-1586.avi	165	4	2	1	2	2
sec-1587.avi	164	4	2	1	2	2
sec-1589.avi	162	4	1	1	2	2
sec-1590.avi	161	4	2	1	2	2
sec-1591.avi	160	3	2	1	2	1
sec-1592.avi	159	3	1	1	2	2
sec-1593.avi	158	4	2	1	2	2
sec-1594.avi	157	3	1	1	2	2
sec-1595.avi	156	3	1	1	2	2
sec-1596.avi	155	3	3	1	2	2
sec-1598.avi	153	5	3	1	2	2
sec-1600.avi	151	4	1	1	2	2
sec-1601.avi	150	4	1	1	2	2
sec-1602.avi	149	4	1	1	2	2
sec-1603.avi	148	3	1	1	2	2
sec-1604.avi	147	4	1	1	2	2
sec-1605.avi	146	4	1	1	3	2
sec-1606.avi	145	3	1	1	2	2
sec-1607.avi	144	3	1	1	2	2
sec-1608.avi	143	3	1	1	2	2
sec-1609.avi	142	4	2	1	2	2
sec-1610.avi	141	4	2	1	2	2
sec-1611.avi	140	3	1	1	2	2
sec-1612.avi	139	3	1	1	2	2
sec-1613.avi	138	4	1	1	2	2
sec-1614.avi	137	4	1	1	2	2
sec-1615.avi	136	4	1	1	2	2
sec-1616.avi	135	3	1	1	2	2
sec-1617.avi	134	4	2	1	2	2
sec-1618.avi	133	3	1	1	2	0
sec-1619.avi	132	4	2	1	2	2
sec-1620.avi	131	4	3	1	2	2
sec-1621.avi	130	4	2	1	2	2
sec-1622.avi	129	4	2	1	2	2
sec-1623.avi	128	4	1	1	2	2
sec-1624.avi	127	3	1	1	2	2
sec-1625.avi	126	3	1	1	2	0
sec-1626.avi	125	4	1	1	2	2
sec-1627.avi	124	4	1	1	2	2
sec-1628.avi	123	5	1	1	2	2
sec-1629.avi	122	4	2	1	2	2
sec-1630.avi	121	3	1	1	2	2
sec-1631.avi	120	4	2	1	2	2
sec-1633.avi	118	4	1	1	2	1
sec-1634.avi	117	4	3	1	2	2
sec-1635.avi	116	5	2	1	2	2
sec-1637.avi	114	4	2	1	2	2
sec-1638.avi	113	3	1	1	2	2
sec-1639.avi	112	4	2	1	2	1
sec-1640.avi	111	4	3	1	2	1
sec-1642.avi	109	4	2	1	2	1
sec-1644.avi	107	4	2	1	2	1
sec-1646.avi	105	4	2	1	2	1
sec-1647.avi	104	4	2	1	2	2
sec-1648.avi	103	3	1	1	2	2
sec-1650.avi	101	3	1	1	2	2
sec-1651.avi	100	4	1	1	2	2
sec-1652.avi	99	3	2	1	2	2
sec-1653.avi	98	3	1	1	2	2
sec-1654.avi	97	3	2	1	2	2
sec-1655.avi	96	4	1	1	2	0
sec-1656.avi	95	3	1	1	2	2
sec-1657.avi	94	3	1	1	2	2
sec-1658.avi	93	3	1	1	2	2
sec-1660.avi	91	3	1	1	2	2
sec-1661.avi	90	4	1	1	2	2
sec-1663.avi	88	4	1	1	2	2
sec-1664.avi	87	5	2	1	2	2
sec-1665.avi	86	5	3	1	2	2
sec-1667.avi	84	4	2	1	2	2
sec-1668.avi	83	4	2	1	2	2
sec-1670.avi	81	4	2	1	2	2
sec-1672.avi	79	3	1	1	2	2
sec-1673.avi	78	3	1	1	2	2
sec-1674.avi	77	3	1	1	2	2
sec-1675.avi	76	3	1	1	2	2
sec-1676.avi	75	3	1	1	2	2
sec-1677.avi	74	3	1	1	2	2
sec-1678.avi	73	4	1	1	2	2
sec-1679.avi	72	5	3	1	2	1
sec-1681.avi	70	4	1	1	2	2
sec-1682.avi	69	4	2	1	2	2
sec-1683.avi	68	4	2	1	2	2
sec-1685.avi	66	4	1	1	2	2
sec-1686.avi	65	5	3	1	2	2
sec-1687.avi	64	3	2	1	2	2
sec-1690.avi	61	5	2	1	2	2
sec-1692.avi	59	3	1	1	2	2
sec-1694.avi	57	3	1	1	2	2
sec-1696.avi	55	3	1	1	2	2
sec-1698.avi	53	4	3	1	2	2
sec-1699.avi	52	4	1	1	2	2
sec-1700.avi	51	4	1	1	2	2
sec-1701.avi	50	3	1	1	2	2
sec-1702.avi	49	4	2	1	2	2
sec-1703.avi	48	3	1	1	2	2
sec-1704.avi	47	4	1	1	2	2
sec-1705.avi	46	5	3	1	2	2
sec-1706.avi	45	4	2	1	2	2
sec-1707.avi	44	3	2	1	2	2
sec-1708.avi	43	3	1	1	2	2
sec-1709.avi	42	3	1	1	2	2
sec-1710.avi	41	3	1	1	2	2
sec-1711.avi	40	3	3	1	2	2
sec-1712.avi	39	3	1	1	2	1
sec-1713.avi	38	4	1	1	2	2
sec-1714.avi	37	3	1	1	2	2
sec-1715.avi	36	3	1	1	2	2
sec-1716.avi	35	4	3	1	2	2
sec-1717.avi	34	3	1	1	2	2
sec-1718.avi	33	4	3	1	2	2
sec-1719.avi	32	4	3	1	2	2
sec-1721.avi	30	4	5	1	2	2
sec-1722.avi	29	5	5	1	2	2
sec-1724.avi	27	4	3	1	2	2
sec-1725.avi	26	4	4	1	2	2
sec-1726.avi	25	4	3	1	2	1
sec-1728.avi	23	4	3	1	2	2
sec-1730.avi	21	4	3	1	2	2
sec-1731.avi	20	4	4	1	2	1
sec-1733.avi	18	3	4	1	2	2
sec-1734.avi	17	4	4	1	2	2
sec-1736.avi	15	4	4	1	2	2
sec-1737.avi	14	4	4	1	2	2
sec-1738.avi	13	4	4	1	2	2
sec-1739.avi	12	5	5	1	2	2
sec-1741.avi	10	4	2	1	2	2
