onset	duration	video	participant	session
1	1	sec-907.avi	sub-12	ses-01
7	1	sec-212.avi	sub-11	ses-01
13	1	sec-11.avi	sub-11	ses-01
19	1	sec-38.avi	sub-11	ses-01
25	1	sec-271.avi	sub-11	ses-01
31	1	sec-160.avi	sub-11	ses-01
37	1	sec-652.avi	sub-12	ses-01
43	1	sec-1146.avi	sub-12	ses-01
49	1	sec-251.avi	sub-11	ses-01
55	1	sec-1067.avi	sub-12	ses-01
61	1	sec-194.avi	sub-11	ses-01
67	1	sec-264.avi	sub-11	ses-01
73	1	sec-120.avi	sub-11	ses-01
79	1	sec-471.avi	sub-12	ses-01
85	1	sec-935.avi	sub-12	ses-01
91	1	sec-81.avi	sub-11	ses-01
97	1	sec-102.avi	sub-11	ses-01
103	1	sec-183.avi	sub-12	ses-01
109	1	sec-154.avi	sub-12	ses-01
115	1	sec-289.avi	sub-11	ses-01
121	1	sec-411.avi	sub-12	ses-01
127	1	sec-309.avi	sub-12	ses-01
133	1	sec-339.avi	sub-12	ses-01
139	1	sec-246.avi	sub-11	ses-01
145	1	sec-123.avi	sub-12	ses-01
151	1	sec-72.avi	sub-11	ses-01
157	1	sec-889.avi	sub-12	ses-01
163	1	sec-404.avi	sub-12	ses-01
169	1	sec-56.avi	sub-12	ses-01
175	1	sec-353.avi	sub-12	ses-01
181	1	sec-205.avi	sub-11	ses-01
187	1	sec-942.avi	sub-12	ses-01
193	1	sec-102.avi	sub-12	ses-01
199	1	sec-179.avi	sub-11	ses-01
205	1	sec-953.avi	sub-12	ses-01
211	1	sec-33.avi	sub-11	ses-01
217	1	sec-238.avi	sub-11	ses-01
223	1	sec-1073.avi	sub-12	ses-01
229	1	sec-190.avi	sub-12	ses-01
235	1	sec-275.avi	sub-12	ses-01
241	1	sec-134.avi	sub-11	ses-01
247	1	sec-313.avi	sub-11	ses-01
253	1	sec-47.avi	sub-11	ses-01
259	1	sec-283.avi	sub-11	ses-01
265	1	sec-14.avi	sub-11	ses-01
271	1	sec-299.avi	sub-11	ses-01
277	1	sec-225.avi	sub-11	ses-01
283	1	sec-980.avi	sub-12	ses-01
289	1	sec-556.avi	sub-12	ses-01
295	1	sec-98.avi	sub-11	ses-01
301	1	sec-538.avi	sub-12	ses-01
307	1	sec-190.avi	sub-11	ses-01
313	1	sec-67.avi	sub-11	ses-01
319	1	sec-248.avi	sub-12	ses-01
325	1	sec-306.avi	sub-11	ses-01
331	1	sec-148.avi	sub-11	ses-01
337	1	sec-522.avi	sub-12	ses-01
343	1	sec-1096.avi	sub-12	ses-01
349	1	sec-897.avi	sub-12	ses-01
355	1	sec-594.avi	sub-12	ses-01
