onset	duration	video	participant	session
1	1	sec-113.avi	sub-13	ses-01
7	1	sec-43.avi	sub-13	ses-01
13	1	sec-414.avi	sub-14	ses-01
19	1	sec-362.avi	sub-14	ses-01
25	1	sec-25.avi	sub-14	ses-01
31	1	sec-513.avi	sub-14	ses-01
37	1	sec-281.avi	sub-13	ses-01
43	1	sec-334.avi	sub-14	ses-01
49	1	sec-94.avi	sub-14	ses-01
55	1	sec-91.avi	sub-13	ses-01
61	1	sec-505.avi	sub-14	ses-01
67	1	sec-192.avi	sub-14	ses-01
73	1	sec-319.avi	sub-13	ses-01
79	1	sec-57.avi	sub-13	ses-01
85	1	sec-347.avi	sub-14	ses-01
91	1	sec-428.avi	sub-14	ses-01
97	1	sec-335.avi	sub-13	ses-01
103	1	sec-253.avi	sub-14	ses-01
109	1	sec-378.avi	sub-14	ses-01
115	1	sec-41.avi	sub-13	ses-01
121	1	sec-135.avi	sub-13	ses-01
127	1	sec-292.avi	sub-14	ses-01
133	1	sec-458.avi	sub-14	ses-01
139	1	sec-394.avi	sub-14	ses-01
145	1	sec-178.avi	sub-14	ses-01
151	1	sec-59.avi	sub-14	ses-01
157	1	sec-307.avi	sub-13	ses-01
163	1	sec-16.avi	sub-14	ses-01
169	1	sec-304.avi	sub-14	ses-01
175	1	sec-408.avi	sub-14	ses-01
181	1	sec-345.avi	sub-13	ses-01
187	1	sec-571.avi	sub-14	ses-01
193	1	sec-23.avi	sub-14	ses-01
199	1	sec-195.avi	sub-13	ses-01
205	1	sec-179.avi	sub-13	ses-01
211	1	sec-61.avi	sub-13	ses-01
217	1	sec-83.avi	sub-13	ses-01
223	1	sec-497.avi	sub-14	ses-01
229	1	sec-308.avi	sub-14	ses-01
235	1	sec-28.avi	sub-14	ses-01
241	1	sec-131.avi	sub-13	ses-01
247	1	sec-247.avi	sub-13	ses-01
253	1	sec-240.avi	sub-13	ses-01
259	1	sec-55.avi	sub-14	ses-01
265	1	sec-255.avi	sub-13	ses-01
271	1	sec-226.avi	sub-13	ses-01
277	1	sec-155.avi	sub-13	ses-01
283	1	sec-209.avi	sub-13	ses-01
289	1	sec-77.avi	sub-13	ses-01
295	1	sec-236.avi	sub-14	ses-01
301	1	sec-361.avi	sub-13	ses-01
307	1	sec-162.avi	sub-13	ses-01
313	1	sec-144.avi	sub-13	ses-01
319	1	sec-140.avi	sub-14	ses-01
325	1	sec-79.avi	sub-14	ses-01
331	1	sec-107.avi	sub-13	ses-01
337	1	sec-277.avi	sub-13	ses-01
343	1	sec-133.avi	sub-14	ses-01
349	1	sec-299.avi	sub-13	ses-01
355	1	sec-331.avi	sub-13	ses-01
