	vid-1	vid-2	vid-3	vid-4	vid-5	vid-6	vid-7	vid-8	vid-9	vid-10	vid-11	vid-12	vid-13	vid-14	vid-15	vid-16	vid-17	vid-18	vid-19	vid-20	vid-21	vid-22	vid-23	vid-24	vid-25	vid-26	vid-27	vid-28	vid-29	vid-30	vid-31	vid-32	vid-33	vid-34	vid-35	vid-36	vid-37	vid-38	vid-39	vid-40	vid-41	vid-42	vid-43	vid-44	vid-45	vid-46	vid-47	vid-48	vid-49	vid-50	vid-51	vid-52	vid-53	vid-54	vid-55	vid-56	vid-57	vid-58	vid-59	vid-60	vid-61	vid-62	vid-63	vid-64	vid-65	vid-66	vid-67	vid-68	vid-69	vid-70	vid-71	vid-72	vid-73	vid-74	vid-75	vid-76	vid-77	vid-78	vid-79	vid-80	vid-81	vid-82	vid-83	vid-84	vid-85	vid-86	vid-87	vid-88	vid-89	vid-90	vid-91	vid-92	vid-93	vid-94	vid-95	vid-96	vid-97	vid-98	vid-99	vid-100	vid-101	vid-102	vid-103	vid-104	vid-105	vid-106	vid-107	vid-108	vid-109	vid-110	vid-111	vid-112	vid-113	vid-114	vid-115	vid-116	vid-117	vid-118	vid-119	vid-120	vid-121	vid-122	vid-123	vid-124	vid-125	vid-126	vid-127	vid-128	vid-129	vid-130	vid-131	vid-132	vid-133	vid-134	vid-135	vid-136	vid-137	vid-138	vid-139	vid-140	vid-141	vid-142	vid-143	vid-144	vid-145	vid-146	vid-147	vid-148	vid-149	vid-150	vid-151	vid-152	vid-153	vid-154	vid-155	vid-156	vid-157	vid-158	vid-159	vid-160	vid-161	vid-162	vid-163	vid-164	vid-165	vid-166	vid-167	vid-168	vid-169	vid-170	vid-171	vid-172	vid-173	vid-174	vid-175	vid-176	vid-177	vid-178	vid-179	vid-180	vid-181	vid-182	vid-183	vid-184	vid-185	vid-186	vid-187	vid-188	vid-189	vid-190	vid-191	vid-192	vid-193	vid-194	vid-195	vid-196	vid-197	vid-198	vid-199	vid-200	vid-201	vid-202	vid-203	vid-204	vid-205	vid-206	vid-207	vid-208	vid-209	vid-210	vid-211	vid-212	vid-213	vid-214	vid-215	vid-216	vid-217	vid-218	vid-219	vid-220	vid-221	vid-222	vid-223	vid-224	vid-225	vid-226	vid-227	vid-228	vid-229	vid-230	vid-231	vid-232	vid-233	vid-234	vid-235	vid-236	vid-237	vid-238	vid-239	vid-240	vid-241	vid-242	vid-243	vid-244	vid-245	vid-246	vid-247	vid-248	vid-249	vid-250	vid-251	vid-252	vid-253	vid-254
vid-1	0.0000	4.1407	0.0000	2.1032	1.4787	NaN	2.1032	0.0000	1.2238	1.6227	NaN	2.1032	0.0000	11.4271	1.2114	0.0000	11.8955	0.1788	0.7210	1.4689	1.2102	2.8987	11.4271	2.1032	0.0000	6.1205	2.1032	2.1032	16.7101	2.6471	20.2791	1.4787	2.1032	2.1032	0.5665	1.2870	6.2860	0.6679	2.1032	1.4787	2.1032	199.0173	199.8692	199.0173	0.0000	0.6286	1.5742	1.4787	11.4271	2.4065	NaN	1.4787	NaN	1.4689	0.2405	21.2573	4.8738	NaN	2.8638	0.1499	2.1032	2.1032	1.1608	0.0000	0.5284	0.5572	0.5712	0.0000	2.1032	5.0990	3.1683	0.1562	4.2762	6.6904	2118.3884	2118.3884	11.4271	2120.8395	7.6082	1.4787	1.4787	NaN	328.2500	331.8661	331.8661	NaN	1.4787	2.1524	6.2860	4.5394	7.6082	0.0000	4.4318	3.0131	956.2387	954.1774	954.2977	NaN	1.4039	2.1032	1.5123	1.5504	11.8955	11.4271	3.1578	3.1578	2.8942	1.4787	2.1032	29.0320	9.1252	1.4787	NaN	1.4724	1.2009	2.1032	1.4236	2.2681	2.1032	0.0000	2.1032	177.8514	177.8514	177.8514	11.4271	NaN	1.4012	2.2116	7.6082	26.2967	11.4271	0.3637	0.4074	2.1032	1.7942	1.5390	0.8017	0.0000	4.0956	NaN	2.6151	1.2783	1.5504	0.5897	0.6041	NaN	0.0000	2.1032	713.0077	715.0500	715.0500	543.4791	543.4791	543.4791	508.2063	543.4791	99.7720	0.5897	0.0000	3.1769	2.1162	NaN	1.4545	17.1823	NaN	0.0000	NaN	0.0000	7.6082	0.5897	14.1618	543.4791	0.5572	2.1032	2.1032	0.0000	15.1636	678.1475	678.1475	677.6009	6.6904	508.2063	531.6006	531.6248	531.6006	11.4271	964.0276	964.6178	964.6102	956.4755	954.1940	964.0276	964.0276	964.6102	958.5672	964.6102	964.6102	0.2910	0.0000	2.1032	NaN	2.9579	6.6904	1513.2553	1514.9763	1513.2553	1691.9781	1691.9781	2.1032	NaN	0.0000	11.4271	1.7046	0.6286	0.3216	1.7046	1.2591	0.7606	0.5897	0.5897	2.4303	1.6913	0.0000	1.4787	NaN	335.8262	335.5644	2.1032	6.6904	948.7002	953.9748	954.1774	0.0000	0.0000	1.4787	NaN	0.8884	0.3823	335.2043	331.8661	331.8661	2.1032	2.1032	2.1032	0.0000	2.5692	3.1258	0.0000	2.1032	2.1032	0.0000	NaN	45.2234	1.7744
vid-2	4.1407	0.0000	4.1407	5.8235	5.3568	NaN	5.8235	4.1407	2.9452	2.8231	NaN	5.8235	4.1407	15.1557	4.5875	4.1407	15.6333	4.0279	3.4532	4.7832	4.6185	4.9650	15.1557	5.8235	4.1407	8.5404	5.8235	5.8235	16.6364	2.2778	24.4028	5.3568	5.8235	5.8235	4.1784	3.0800	3.6281	3.5075	5.8235	5.3568	5.8235	197.6888	198.5209	197.6888	4.1407	3.5138	4.9304	5.3568	15.1557	4.7855	NaN	5.3568	NaN	4.7832	3.9037	24.9175	7.5789	NaN	1.3491	4.0004	5.8235	5.8235	4.3596	4.1407	4.6561	4.2133	4.4448	4.1407	5.8235	4.3296	7.1795	4.0198	0.1563	5.0831	2120.7534	2120.7534	15.1557	2123.2063	10.9588	5.3568	5.3568	NaN	327.0715	330.7133	330.7133	NaN	5.3568	5.8304	3.6281	0.4677	10.9588	4.1407	1.7116	5.8047	960.3049	958.2439	958.3641	NaN	3.1404	5.8235	2.6375	5.1297	15.6333	15.1557	0.9892	0.9892	1.2597	5.3568	5.8235	32.8545	12.8925	5.3568	NaN	5.1077	4.7404	5.8235	2.9424	2.6308	5.8235	4.1407	5.8235	174.0112	174.0112	174.0112	15.1557	NaN	4.9473	4.5477	10.9588	30.2668	15.1557	3.9291	4.5375	5.8235	3.8609	2.8951	3.5825	4.1407	0.3171	NaN	1.5491	4.5769	5.1297	4.3090	4.4138	NaN	4.1407	5.8235	712.5300	714.5600	714.5600	542.8744	542.8744	542.8744	507.3919	542.8744	103.6664	4.3090	4.1407	2.3479	4.5694	NaN	4.1933	20.2159	NaN	4.1407	NaN	4.1407	10.9588	4.3090	16.8625	542.8744	4.2133	5.8235	5.8235	4.1407	17.9910	682.2874	682.2874	681.7408	5.0831	507.3919	531.0058	531.0922	531.0058	15.1557	968.1075	968.6966	968.6894	960.5453	958.2611	968.1075	968.1075	968.6894	962.6346	968.6894	968.6894	3.9424	4.1407	5.8235	NaN	6.7445	5.0831	1516.9061	1518.6248	1516.9061	1695.7860	1695.7860	5.8235	NaN	4.1407	15.1557	5.6423	3.5138	4.0728	5.6423	4.6102	3.3887	4.3090	4.3090	3.7757	3.8571	4.1407	5.3568	NaN	334.7042	334.4426	5.8235	5.0831	952.7586	958.0404	958.2439	4.1407	4.1407	5.3568	NaN	3.8336	3.8127	334.0528	330.7133	330.7133	5.8235	5.8235	5.8235	4.1407	1.5778	5.2422	4.1407	5.8235	5.8235	4.1407	NaN	48.0220	4.0385
vid-3	0.0000	4.1407	0.0000	2.1032	1.4787	NaN	2.1032	0.0000	1.2238	1.6227	NaN	2.1032	0.0000	11.4271	1.2114	0.0000	11.8955	0.1788	0.7210	1.4689	1.2102	2.8987	11.4271	2.1032	0.0000	6.1205	2.1032	2.1032	16.7101	2.6471	20.2791	1.4787	2.1032	2.1032	0.5665	1.2870	6.2860	0.6679	2.1032	1.4787	2.1032	199.0173	199.8692	199.0173	0.0000	0.6286	1.5742	1.4787	11.4271	2.4065	NaN	1.4787	NaN	1.4689	0.2405	21.2573	4.8738	NaN	2.8638	0.1499	2.1032	2.1032	1.1608	0.0000	0.5284	0.5572	0.5712	0.0000	2.1032	5.0990	3.1683	0.1562	4.2762	6.6904	2118.3884	2118.3884	11.4271	2120.8395	7.6082	1.4787	1.4787	NaN	328.2500	331.8661	331.8661	NaN	1.4787	2.1524	6.2860	4.5394	7.6082	0.0000	4.4318	3.0131	956.2387	954.1774	954.2977	NaN	1.4039	2.1032	1.5123	1.5504	11.8955	11.4271	3.1578	3.1578	2.8942	1.4787	2.1032	29.0320	9.1252	1.4787	NaN	1.4724	1.2009	2.1032	1.4236	2.2681	2.1032	0.0000	2.1032	177.8514	177.8514	177.8514	11.4271	NaN	1.4012	2.2116	7.6082	26.2967	11.4271	0.3637	0.4074	2.1032	1.7942	1.5390	0.8017	0.0000	4.0956	NaN	2.6151	1.2783	1.5504	0.5897	0.6041	NaN	0.0000	2.1032	713.0077	715.0500	715.0500	543.4791	543.4791	543.4791	508.2063	543.4791	99.7720	0.5897	0.0000	3.1769	2.1162	NaN	1.4545	17.1823	NaN	0.0000	NaN	0.0000	7.6082	0.5897	14.1618	543.4791	0.5572	2.1032	2.1032	0.0000	15.1636	678.1475	678.1475	677.6009	6.6904	508.2063	531.6006	531.6248	531.6006	11.4271	964.0276	964.6178	964.6102	956.4755	954.1940	964.0276	964.0276	964.6102	958.5672	964.6102	964.6102	0.2910	0.0000	2.1032	NaN	2.9579	6.6904	1513.2553	1514.9763	1513.2553	1691.9781	1691.9781	2.1032	NaN	0.0000	11.4271	1.7046	0.6286	0.3216	1.7046	1.2591	0.7606	0.5897	0.5897	2.4303	1.6913	0.0000	1.4787	NaN	335.8262	335.5644	2.1032	6.6904	948.7002	953.9748	954.1774	0.0000	0.0000	1.4787	NaN	0.8884	0.3823	335.2043	331.8661	331.8661	2.1032	2.1032	2.1032	0.0000	2.5692	3.1258	0.0000	2.1032	2.1032	0.0000	NaN	45.2234	1.7744
vid-4	2.1032	5.8235	2.1032	0.0000	0.6414	NaN	0.0000	2.1032	3.1881	3.0014	NaN	0.0000	2.1032	11.0655	2.9161	2.1032	11.5083	2.0959	2.5341	1.0617	2.8924	4.6632	11.0655	0.0000	2.1032	4.2838	0.0000	0.0000	15.5440	3.7837	18.6959	0.6414	0.0000	0.0000	1.7510	3.3599	8.3573	2.4887	0.0000	0.6414	0.0000	200.9121	201.7686	200.9121	2.1032	2.5624	0.9249	0.6414	11.0655	4.1677	NaN	0.6414	NaN	1.0617	2.2520	20.8217	5.9512	NaN	4.7080	2.1706	0.0000	0.0000	3.0044	2.1032	1.6745	2.5055	1.5630	2.1032	0.0000	7.1803	3.0309	2.2586	5.9740	6.8626	2116.3193	2116.3193	11.0655	2118.7703	7.8656	0.6414	0.6414	NaN	330.1042	333.7139	333.7139	NaN	0.6414	0.0852	8.3573	6.2689	7.8656	2.1032	5.5834	1.5103	954.4950	952.4342	952.5543	NaN	3.4997	0.0000	3.4047	0.6939	11.5083	11.0655	4.8493	4.8493	4.6763	0.6414	0.0000	27.0753	8.7934	0.6414	NaN	0.7208	1.0894	0.0000	3.4851	4.3554	0.0000	2.1032	0.0000	179.7871	179.7871	179.7871	11.0655	NaN	0.8764	4.0433	7.8656	25.3983	11.0655	2.4643	1.7671	0.0000	3.8157	3.6088	2.2947	2.1032	5.8563	NaN	4.4345	2.9984	0.6939	1.6363	1.5592	NaN	2.1032	0.0000	714.6586	716.7047	716.7047	545.1709	545.1709	545.1709	509.9603	545.1709	98.9061	1.6363	2.1032	5.2587	3.9299	NaN	1.6936	15.0814	NaN	2.1032	NaN	2.1032	7.8656	1.6363	14.6826	545.1709	2.5055	0.0000	0.0000	2.1032	13.0815	676.6893	676.6893	676.1427	6.8626	509.9603	533.2896	533.2947	533.2896	11.0655	962.3058	962.8942	962.8873	954.7374	952.4516	962.3058	962.3058	962.8873	956.8253	962.8873	962.8873	2.3942	2.1032	0.0000	NaN	3.3748	6.8626	1511.2407	1512.9610	1511.2407	1690.0243	1690.0243	0.0000	NaN	2.1032	11.0655	2.4235	2.5624	2.3853	2.4235	2.9541	2.6351	1.6363	1.6363	2.6474	3.7150	2.1032	0.6414	NaN	337.6661	337.4042	0.0000	6.8626	946.9451	952.2302	952.4342	2.1032	2.1032	0.6414	NaN	2.0028	2.4740	337.0517	333.7139	333.7139	0.0000	0.0000	0.0000	2.1032	4.2833	2.1718	2.1032	0.0000	0.0000	2.1032	NaN	45.4279	1.9843
vid-5	1.4787	5.3568	1.4787	0.6414	0.0000	NaN	0.6414	1.4787	2.6127	2.5627	NaN	0.6414	1.4787	11.0122	2.2870	1.4787	11.4646	1.4893	1.9739	0.8318	2.2647	4.0441	11.0122	0.6414	1.4787	4.8750	0.6414	0.6414	15.9762	3.4411	19.0777	0.0000	0.6414	0.6414	1.1957	2.7529	7.7563	1.9247	0.6414	0.0000	0.6414	200.2915	201.1472	200.2915	1.4787	1.9803	0.7652	0.0000	11.0122	3.5461	NaN	0.0000	NaN	0.8318	1.6449	20.8108	5.4679	NaN	4.1833	1.5583	0.6414	0.6414	2.3671	1.4787	1.0335	1.8644	0.9673	1.4787	0.6414	6.5407	2.7958	1.6349	5.5037	6.8641	2116.9607	2116.9607	11.0122	2119.4116	7.6093	0.0000	0.0000	NaN	329.4912	333.1021	333.1021	NaN	0.0000	0.7045	7.7563	5.7904	7.6093	1.4787	5.2737	1.9354	954.9484	952.8874	953.0076	NaN	2.8817	0.6414	2.8515	0.4812	11.4646	11.0122	4.3715	4.3715	4.1700	0.0000	0.6414	27.6136	8.7202	0.0000	NaN	0.4137	0.6791	0.6414	2.8830	3.7433	0.6414	1.4787	0.6414	179.2550	179.2550	179.2550	11.0122	NaN	0.5626	3.4134	7.6093	25.5411	11.0122	1.8358	1.1284	0.6414	3.1744	3.0038	1.7790	1.4787	5.3655	NaN	3.9148	2.3692	0.4812	1.0699	0.9772	NaN	1.4787	0.6414	714.0884	716.1337	716.1337	544.5915	544.5915	544.5915	509.3675	544.5915	99.0498	1.0699	1.4787	4.6505	3.3012	NaN	1.4195	15.7166	NaN	1.4787	NaN	1.4787	7.6093	1.0699	14.3791	544.5915	1.8644	0.6414	0.6414	1.4787	13.7224	677.0372	677.0372	676.4907	6.8641	509.3675	532.7108	532.7202	532.7108	11.0122	962.7508	963.3399	963.3327	955.1886	952.9045	962.7508	962.7508	963.3327	957.2780	963.3327	963.3327	1.7686	1.4787	0.6414	NaN	2.9950	6.8641	1511.8086	1513.5293	1511.8086	1690.5639	1690.5639	0.6414	NaN	1.4787	11.0122	1.9141	1.9803	1.7505	1.9141	2.3263	2.0672	1.0699	1.0699	2.5156	3.0736	1.4787	0.0000	NaN	337.0558	336.7939	0.6414	6.8641	947.4029	952.6840	952.8874	1.4787	1.4787	0.0000	NaN	1.5296	1.8558	336.4399	333.1021	333.1021	0.6414	0.6414	0.6414	1.4787	3.7921	2.4180	1.4787	0.6414	0.6414	1.4787	NaN	45.2349	1.7798
vid-6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
vid-7	2.1032	5.8235	2.1032	0.0000	0.6414	NaN	0.0000	2.1032	3.1881	3.0014	NaN	0.0000	2.1032	11.0655	2.9161	2.1032	11.5083	2.0959	2.5341	1.0617	2.8924	4.6632	11.0655	0.0000	2.1032	4.2838	0.0000	0.0000	15.5440	3.7837	18.6959	0.6414	0.0000	0.0000	1.7510	3.3599	8.3573	2.4887	0.0000	0.6414	0.0000	200.9121	201.7686	200.9121	2.1032	2.5624	0.9249	0.6414	11.0655	4.1677	NaN	0.6414	NaN	1.0617	2.2520	20.8217	5.9512	NaN	4.7080	2.1706	0.0000	0.0000	3.0044	2.1032	1.6745	2.5055	1.5630	2.1032	0.0000	7.1803	3.0309	2.2586	5.9740	6.8626	2116.3193	2116.3193	11.0655	2118.7703	7.8656	0.6414	0.6414	NaN	330.1042	333.7139	333.7139	NaN	0.6414	0.0852	8.3573	6.2689	7.8656	2.1032	5.5834	1.5103	954.4950	952.4342	952.5543	NaN	3.4997	0.0000	3.4047	0.6939	11.5083	11.0655	4.8493	4.8493	4.6763	0.6414	0.0000	27.0753	8.7934	0.6414	NaN	0.7208	1.0894	0.0000	3.4851	4.3554	0.0000	2.1032	0.0000	179.7871	179.7871	179.7871	11.0655	NaN	0.8764	4.0433	7.8656	25.3983	11.0655	2.4643	1.7671	0.0000	3.8157	3.6088	2.2947	2.1032	5.8563	NaN	4.4345	2.9984	0.6939	1.6363	1.5592	NaN	2.1032	0.0000	714.6586	716.7047	716.7047	545.1709	545.1709	545.1709	509.9603	545.1709	98.9061	1.6363	2.1032	5.2587	3.9299	NaN	1.6936	15.0814	NaN	2.1032	NaN	2.1032	7.8656	1.6363	14.6826	545.1709	2.5055	0.0000	0.0000	2.1032	13.0815	676.6893	676.6893	676.1427	6.8626	509.9603	533.2896	533.2947	533.2896	11.0655	962.3058	962.8942	962.8873	954.7374	952.4516	962.3058	962.3058	962.8873	956.8253	962.8873	962.8873	2.3942	2.1032	0.0000	NaN	3.3748	6.8626	1511.2407	1512.9610	1511.2407	1690.0243	1690.0243	0.0000	NaN	2.1032	11.0655	2.4235	2.5624	2.3853	2.4235	2.9541	2.6351	1.6363	1.6363	2.6474	3.7150	2.1032	0.6414	NaN	337.6661	337.4042	0.0000	6.8626	946.9451	952.2302	952.4342	2.1032	2.1032	0.6414	NaN	2.0028	2.4740	337.0517	333.7139	333.7139	0.0000	0.0000	0.0000	2.1032	4.2833	2.1718	2.1032	0.0000	0.0000	2.1032	NaN	45.4279	1.9843
vid-8	0.0000	4.1407	0.0000	2.1032	1.4787	NaN	2.1032	0.0000	1.2238	1.6227	NaN	2.1032	0.0000	11.4271	1.2114	0.0000	11.8955	0.1788	0.7210	1.4689	1.2102	2.8987	11.4271	2.1032	0.0000	6.1205	2.1032	2.1032	16.7101	2.6471	20.2791	1.4787	2.1032	2.1032	0.5665	1.2870	6.2860	0.6679	2.1032	1.4787	2.1032	199.0173	199.8692	199.0173	0.0000	0.6286	1.5742	1.4787	11.4271	2.4065	NaN	1.4787	NaN	1.4689	0.2405	21.2573	4.8738	NaN	2.8638	0.1499	2.1032	2.1032	1.1608	0.0000	0.5284	0.5572	0.5712	0.0000	2.1032	5.0990	3.1683	0.1562	4.2762	6.6904	2118.3884	2118.3884	11.4271	2120.8395	7.6082	1.4787	1.4787	NaN	328.2500	331.8661	331.8661	NaN	1.4787	2.1524	6.2860	4.5394	7.6082	0.0000	4.4318	3.0131	956.2387	954.1774	954.2977	NaN	1.4039	2.1032	1.5123	1.5504	11.8955	11.4271	3.1578	3.1578	2.8942	1.4787	2.1032	29.0320	9.1252	1.4787	NaN	1.4724	1.2009	2.1032	1.4236	2.2681	2.1032	0.0000	2.1032	177.8514	177.8514	177.8514	11.4271	NaN	1.4012	2.2116	7.6082	26.2967	11.4271	0.3637	0.4074	2.1032	1.7942	1.5390	0.8017	0.0000	4.0956	NaN	2.6151	1.2783	1.5504	0.5897	0.6041	NaN	0.0000	2.1032	713.0077	715.0500	715.0500	543.4791	543.4791	543.4791	508.2063	543.4791	99.7720	0.5897	0.0000	3.1769	2.1162	NaN	1.4545	17.1823	NaN	0.0000	NaN	0.0000	7.6082	0.5897	14.1618	543.4791	0.5572	2.1032	2.1032	0.0000	15.1636	678.1475	678.1475	677.6009	6.6904	508.2063	531.6006	531.6248	531.6006	11.4271	964.0276	964.6178	964.6102	956.4755	954.1940	964.0276	964.0276	964.6102	958.5672	964.6102	964.6102	0.2910	0.0000	2.1032	NaN	2.9579	6.6904	1513.2553	1514.9763	1513.2553	1691.9781	1691.9781	2.1032	NaN	0.0000	11.4271	1.7046	0.6286	0.3216	1.7046	1.2591	0.7606	0.5897	0.5897	2.4303	1.6913	0.0000	1.4787	NaN	335.8262	335.5644	2.1032	6.6904	948.7002	953.9748	954.1774	0.0000	0.0000	1.4787	NaN	0.8884	0.3823	335.2043	331.8661	331.8661	2.1032	2.1032	2.1032	0.0000	2.5692	3.1258	0.0000	2.1032	2.1032	0.0000	NaN	45.2234	1.7744
vid-9	1.2238	2.9452	1.2238	3.1881	2.6127	NaN	3.1881	1.2238	0.0000	1.0194	NaN	3.1881	1.2238	12.3850	1.7759	1.2238	12.8588	1.1458	0.6603	2.3052	1.7999	2.8917	12.3850	3.1881	1.2238	6.8413	3.1881	3.1881	16.8024	1.8913	21.4990	2.6127	3.1881	3.1881	1.4374	0.4125	5.1811	0.7016	3.1881	2.6127	3.1881	198.4146	199.2612	198.4146	1.2238	0.6331	2.4465	2.6127	12.3850	2.4935	NaN	2.6127	NaN	2.3052	1.0009	22.1986	5.3009	NaN	1.6432	1.0974	3.1881	3.1881	1.5758	1.2238	1.7516	1.2841	1.6458	1.2238	3.1881	4.3092	4.2543	1.0887	3.0749	6.1654	2119.2564	2119.2564	12.3850	2121.7080	8.3749	2.6127	2.6127	NaN	327.6912	331.3145	331.3145	NaN	2.6127	3.2207	5.1811	3.3286	8.3749	1.2238	3.4714	3.7437	957.4624	955.4012	955.5215	NaN	0.6352	3.1881	0.3155	2.5395	12.8588	12.3850	1.9781	1.9781	1.6879	2.6127	3.1881	30.2221	10.0954	2.6127	NaN	2.4850	2.1345	3.1881	0.4286	1.2645	3.1881	1.2238	3.1881	176.6517	176.6517	176.6517	12.3850	NaN	2.3599	2.2411	8.3749	27.3821	12.3850	0.9838	1.6307	3.1881	1.5473	0.5472	0.9672	1.2238	2.8814	NaN	1.4026	1.7917	2.5395	1.5528	1.6372	NaN	1.2238	3.1881	712.6474	714.6862	714.6862	543.0821	543.0821	543.0821	507.7501	543.0821	100.8269	1.5528	1.2238	2.1176	2.1971	NaN	1.9393	18.1742	NaN	1.2238	NaN	1.2238	8.3749	1.5528	14.7068	543.0821	1.2841	3.1881	3.1881	1.2238	16.0934	679.3466	679.3466	678.8000	6.1654	507.7501	531.2063	531.2481	531.2063	12.3850	965.2513	965.8416	965.8339	957.6993	955.4178	965.2513	965.2513	965.8339	959.7910	965.8339	965.8339	1.0000	1.2238	3.1881	NaN	3.8936	6.1654	1514.4205	1516.1410	1514.4205	1693.1716	1693.1716	3.1881	NaN	1.2238	12.3850	2.7231	0.6331	1.1275	2.7231	1.8104	0.5542	1.5528	1.5528	2.4106	1.4742	1.2238	2.6127	NaN	335.2831	335.0213	3.1881	6.1654	949.9238	955.1985	955.4012	1.2238	1.2238	2.6127	NaN	1.3027	0.8716	334.6530	331.3145	331.3145	3.1881	3.1881	3.1881	1.2238	1.4028	3.5791	1.2238	3.1881	3.1881	1.2238	NaN	45.8519	2.0593
vid-10	1.6227	2.8231	1.6227	3.0014	2.5627	NaN	3.0014	1.6227	1.0194	0.0000	NaN	3.0014	1.6227	13.0493	2.5997	1.6227	13.5180	1.4576	0.9321	1.9615	2.6151	3.9004	13.0493	3.0014	1.6227	6.1293	3.0014	3.0014	15.7952	1.0261	21.6403	2.5627	3.0014	3.0014	1.4401	1.4318	5.7025	0.9773	3.0014	2.5627	3.0014	199.2840	200.1279	199.2840	1.6227	1.0843	2.1092	2.5627	13.0493	3.4842	NaN	2.5627	NaN	1.9615	1.3976	22.8792	6.2425	NaN	1.8144	1.4745	3.0014	3.0014	2.4398	1.6227	2.0459	1.9765	1.7237	1.6227	3.0014	5.1649	4.7837	1.5685	2.9747	5.2064	2118.5664	2118.5664	13.0493	2121.0184	9.1800	2.5627	2.5627	NaN	328.5808	332.2073	332.2073	NaN	2.5627	3.0073	5.7025	3.2727	9.1800	1.6227	2.8223	3.1354	957.4928	955.4319	955.5521	NaN	1.6533	3.0014	0.9098	2.3076	13.5180	13.0493	1.8583	1.8583	1.7329	2.5627	3.0014	30.0444	10.7477	2.5627	NaN	2.2886	1.9235	3.0014	1.4270	2.1224	3.0014	1.6227	3.0014	176.8176	176.8176	176.8176	13.0493	NaN	2.1261	3.2363	9.1800	27.8925	13.0493	1.6054	1.9437	3.0014	2.5607	1.5259	0.8620	1.6227	2.8712	NaN	1.5393	2.6366	2.3076	1.5683	1.6783	NaN	1.6227	3.0014	713.6098	715.6476	715.6476	544.0334	544.0334	544.0334	508.6814	544.0334	101.3782	1.5683	1.6227	2.8319	3.1827	NaN	1.3928	17.6475	NaN	1.6227	NaN	1.6227	9.1800	1.5683	15.6265	544.0334	1.9765	3.0014	3.0014	1.6227	15.5026	679.5893	679.5893	679.0427	5.2064	508.6814	532.1586	532.2058	532.1586	13.0493	965.3004	965.8890	965.8821	957.7344	955.4492	965.3004	965.3004	965.8821	959.8229	965.8821	965.8821	1.5679	1.6227	3.0014	NaN	4.5694	5.2064	1514.1468	1515.8662	1514.1468	1692.9850	1692.9850	3.0014	NaN	1.6227	13.0493	3.3242	1.0843	1.7295	3.3242	2.6419	0.9504	1.5683	1.5683	1.4576	2.4830	1.6227	2.5627	NaN	336.1797	335.9179	3.0014	5.2064	949.9442	955.2281	955.4319	1.6227	1.6227	2.5627	NaN	1.0351	1.4567	335.5460	332.2073	332.2073	3.0014	3.0014	3.0014	1.6227	1.3198	2.7852	1.6227	3.0014	3.0014	1.6227	NaN	46.7431	1.3281
