onset	duration	video	participant	session
1	1	sec-478.avi	sub-22	ses-01
7	1	sec-508.avi	sub-22	ses-01
13	1	sec-39.avi	sub-10	ses-02
19	1	sec-457.avi	sub-22	ses-01
25	1	sec-451.avi	sub-22	ses-01
31	1	sec-103.avi	sub-10	ses-02
37	1	sec-316.avi	sub-22	ses-01
43	1	sec-323.avi	sub-22	ses-01
49	1	sec-179.avi	sub-10	ses-02
55	1	sec-80.avi	sub-10	ses-02
61	1	sec-367.avi	sub-22	ses-01
67	1	sec-409.avi	sub-22	ses-01
73	1	sec-59.avi	sub-10	ses-02
79	1	sec-157.avi	sub-10	ses-02
85	1	sec-12.avi	sub-10	ses-02
91	1	sec-28.avi	sub-10	ses-02
97	1	sec-633.avi	sub-22	ses-01
103	1	sec-522.avi	sub-22	ses-01
109	1	sec-19.avi	sub-10	ses-02
115	1	sec-78.avi	sub-10	ses-02
121	1	sec-526.avi	sub-22	ses-01
127	1	sec-116.avi	sub-10	ses-02
133	1	sec-496.avi	sub-22	ses-01
139	1	sec-597.avi	sub-22	ses-01
145	1	sec-301.avi	sub-22	ses-01
151	1	sec-622.avi	sub-22	ses-01
157	1	sec-246.avi	sub-10	ses-02
163	1	sec-307.avi	sub-22	ses-01
169	1	sec-385.avi	sub-22	ses-01
175	1	sec-181.avi	sub-10	ses-02
181	1	sec-556.avi	sub-22	ses-01
187	1	sec-591.avi	sub-22	ses-01
193	1	sec-146.avi	sub-10	ses-02
199	1	sec-206.avi	sub-10	ses-02
205	1	sec-65.avi	sub-10	ses-02
211	1	sec-49.avi	sub-10	ses-02
217	1	sec-254.avi	sub-10	ses-02
223	1	sec-218.avi	sub-10	ses-02
229	1	sec-548.avi	sub-22	ses-01
235	1	sec-142.avi	sub-10	ses-02
241	1	sec-233.avi	sub-10	ses-02
247	1	sec-388.avi	sub-22	ses-01
253	1	sec-164.avi	sub-10	ses-02
259	1	sec-347.avi	sub-22	ses-01
265	1	sec-213.avi	sub-10	ses-02
271	1	sec-430.avi	sub-22	ses-01
277	1	sec-284.avi	sub-22	ses-01
283	1	sec-470.avi	sub-22	ses-01
289	1	sec-235.avi	sub-10	ses-02
295	1	sec-335.avi	sub-22	ses-01
301	1	sec-490.avi	sub-22	ses-01
307	1	sec-130.avi	sub-10	ses-02
313	1	sec-539.avi	sub-22	ses-01
319	1	sec-614.avi	sub-22	ses-01
325	1	sec-438.avi	sub-22	ses-01
331	1	sec-88.avi	sub-10	ses-02
