onset	duration	video	participant	session
1	1	sec-106.avi	sub-03	ses-02
7	1	sec-627.avi	sub-19	ses-01
13	1	sec-146.avi	sub-03	ses-02
19	1	sec-725.avi	sub-19	ses-01
25	1	sec-363.avi	sub-03	ses-02
31	1	sec-315.avi	sub-03	ses-02
37	1	sec-519.avi	sub-19	ses-01
43	1	sec-594.avi	sub-19	ses-01
49	1	sec-409.avi	sub-03	ses-02
55	1	sec-263.avi	sub-03	ses-02
61	1	sec-706.avi	sub-19	ses-01
67	1	sec-328.avi	sub-03	ses-02
73	1	sec-373.avi	sub-19	ses-01
79	1	sec-771.avi	sub-19	ses-01
85	1	sec-624.avi	sub-03	ses-02
91	1	sec-202.avi	sub-03	ses-02
97	1	sec-560.avi	sub-19	ses-01
103	1	sec-658.avi	sub-19	ses-01
109	1	sec-210.avi	sub-03	ses-02
115	1	sec-394.avi	sub-19	ses-01
121	1	sec-809.avi	sub-19	ses-01
127	1	sec-89.avi	sub-03	ses-02
133	1	sec-642.avi	sub-03	ses-02
139	1	sec-759.avi	sub-19	ses-01
145	1	sec-219.avi	sub-03	ses-02
151	1	sec-48.avi	sub-03	ses-02
157	1	sec-529.avi	sub-03	ses-02
163	1	sec-807.avi	sub-19	ses-01
169	1	sec-594.avi	sub-03	ses-02
175	1	sec-299.avi	sub-03	ses-02
181	1	sec-730.avi	sub-19	ses-01
187	1	sec-499.avi	sub-03	ses-02
193	1	sec-676.avi	sub-19	ses-01
199	1	sec-335.avi	sub-03	ses-02
205	1	sec-682.avi	sub-19	ses-01
211	1	sec-398.avi	sub-03	ses-02
217	1	sec-604.avi	sub-19	ses-01
223	1	sec-631.avi	sub-19	ses-01
229	1	sec-439.avi	sub-19	ses-01
235	1	sec-166.avi	sub-03	ses-02
241	1	sec-513.avi	sub-19	ses-01
247	1	sec-610.avi	sub-19	ses-01
253	1	sec-568.avi	sub-03	ses-02
259	1	sec-458.avi	sub-19	ses-01
265	1	sec-783.avi	sub-19	ses-01
271	1	sec-584.avi	sub-03	ses-02
277	1	sec-245.avi	sub-03	ses-02
283	1	sec-640.avi	sub-19	ses-01
289	1	sec-748.avi	sub-19	ses-01
295	1	sec-691.avi	sub-19	ses-01
301	1	sec-798.avi	sub-19	ses-01
307	1	sec-664.avi	sub-19	ses-01
313	1	sec-185.avi	sub-03	ses-02
319	1	sec-175.avi	sub-03	ses-02
325	1	sec-279.avi	sub-03	ses-02
331	1	sec-749.avi	sub-19	ses-01
337	1	sec-9.avi	sub-03	ses-02
343	1	sec-712.avi	sub-19	ses-01
349	1	sec-8.avi	sub-03	ses-02
355	1	sec-658.avi	sub-03	ses-02
