video	time_from_scan	emotion	memory_strength	face_or_not	person_familiarity	place_familiarity
sec-201.avi	379	4	2	0	0	1
sec-236.avi	344	3	3	1	1	1
sec-255.avi	325	4	2	0	0	2
sec-256.avi	324	2	1	0	0	1
sec-257.avi	323	4	3	1	2	2
sec-258.avi	322	3	1	0	0	2
sec-259.avi	321	5	4	1	2	1
sec-260.avi	320	4	4	1	2	1
sec-261.avi	319	5	5	1	2	1
sec-262.avi	318	5	3	1	2	2
sec-263.avi	317	0	0	0	0	0
sec-264.avi	316	4	1	0	0	2
sec-265.avi	315	4	4	0	3	2
sec-266.avi	314	3	1	0	0	2
sec-267.avi	313	3	3	1	2	2
sec-268.avi	312	5	5	1	2	2
sec-269.avi	311	5	3	1	2	1
sec-270.avi	310	2	1	0	0	1
sec-272.avi	308	3	1	0	0	2
sec-273.avi	307	4	1	1	2	2
sec-274.avi	306	5	4	1	2	2
sec-275.avi	305	4	4	1	3	0
sec-276.avi	304	2	3	1	2	2
sec-277.avi	303	3	3	1	2	2
sec-278.avi	302	4	2	0	0	2
sec-279.avi	301	4	2	1	2	1
sec-280.avi	300	3	1	0	0	2
sec-281.avi	299	5	5	1	1	1
sec-282.avi	298	0	0	0	0	0
sec-283.avi	297	2	3	0	0	1
sec-284.avi	296	4	3	1	2	2
sec-285.avi	295	3	1	0	0	1
sec-286.avi	294	4	1	0	0	2
sec-287.avi	293	3	1	0	0	2
sec-288.avi	292	4	3	1	2	2
sec-289.avi	291	2	4	0	0	2
sec-290.avi	290	4	2	1	2	1
sec-291.avi	289	4	2	0	0	2
sec-292.avi	288	4	4	1	2	1
sec-293.avi	287	3	3	1	2	1
sec-294.avi	286	4	2	1	2	2
sec-295.avi	285	4	4	1	2	2
sec-296.avi	284	4	1	0	0	2
sec-297.avi	283	4	2	0	0	1
sec-298.avi	282	3	1	0	0	2
sec-299.avi	281	5	3	1	2	2
sec-300.avi	280	5	4	1	2	2
sec-301.avi	279	5	3	1	2	2
sec-302.avi	278	4	3	1	2	2
sec-303.avi	277	5	4	1	2	1
sec-304.avi	276	5	4	1	2	1
sec-305.avi	275	3	1	0	0	2
sec-306.avi	274	3	1	0	0	2
sec-307.avi	273	3	3	1	2	2
sec-308.avi	272	3	1	1	2	2
sec-309.avi	271	4	3	1	2	1
sec-310.avi	270	4	3	1	2	1
sec-311.avi	269	3	1	0	0	2
sec-312.avi	268	4	4	1	2	2
sec-313.avi	267	3	1	0	0	2
sec-314.avi	266	4	1	0	0	2
sec-315.avi	265	4	5	0	0	2
sec-316.avi	264	5	5	1	2	2
sec-317.avi	263	4	4	1	2	1
sec-318.avi	262	4	2	0	0	2
sec-319.avi	261	4	2	0	0	2
sec-320.avi	260	4	2	1	2	2
sec-321.avi	259	5	4	1	2	1
sec-322.avi	258	5	3	1	2	2
sec-323.avi	257	3	1	0	0	2
sec-324.avi	256	0	0	0	0	0
sec-325.avi	255	5	3	1	2	2
sec-326.avi	254	5	2	0	0	2
sec-327.avi	253	4	1	0	0	2
sec-328.avi	252	3	1	0	0	1
sec-329.avi	251	4	4	0	0	1
sec-330.avi	250	5	3	0	3	1
sec-331.avi	249	4	2	0	3	2
sec-332.avi	248	5	4	1	2	2
sec-333.avi	247	4	4	1	2	1
sec-334.avi	246	4	2	0	0	2
sec-335.avi	245	5	2	0	0	2
sec-336.avi	244	3	1	0	0	2
sec-337.avi	243	4	4	1	2	2
sec-338.avi	242	3	2	0	0	2
sec-339.avi	241	0	0	0	0	0
sec-340.avi	240	0	0	0	0	0
sec-341.avi	239	4	3	0	0	2
sec-342.avi	238	3	2	0	0	2
sec-343.avi	237	4	2	0	0	2
sec-344.avi	236	3	3	1	2	1
sec-345.avi	235	4	3	0	0	1
sec-346.avi	234	4	3	1	2	2
sec-347.avi	233	2	4	0	0	2
sec-348.avi	232	3	3	0	0	2
sec-349.avi	231	3	1	0	0	2
sec-350.avi	230	3	1	0	0	2
sec-351.avi	229	4	3	1	2	1
sec-352.avi	228	5	4	1	2	1
sec-353.avi	227	5	4	1	2	1
sec-354.avi	226	5	4	1	2	1
sec-355.avi	225	5	5	1	2	1
sec-356.avi	224	5	5	1	2	1
sec-357.avi	223	4	3	1	2	1
sec-359.avi	221	3	1	0	0	2
sec-361.avi	219	3	2	0	0	2
sec-363.avi	217	4	1	0	0	2
sec-364.avi	216	3	1	0	0	2
sec-365.avi	215	4	3	1	2	2
sec-366.avi	214	4	3	1	2	1
sec-367.avi	213	4	2	0	0	2
sec-368.avi	212	2	2	0	0	2
sec-370.avi	210	0	0	0	0	0
sec-371.avi	209	3	1	1	2	2
sec-372.avi	208	4	2	1	2	2
sec-373.avi	207	4	1	0	0	2
sec-374.avi	206	4	4	1	2	2
sec-375.avi	205	0	0	0	0	0
sec-376.avi	204	4	4	1	2	1
sec-377.avi	203	5	4	1	2	1
sec-378.avi	202	5	4	1	2	2
sec-379.avi	201	3	1	0	0	1
sec-380.avi	200	3	3	1	1	1
sec-381.avi	199	4	4	1	1	1
sec-382.avi	198	3	1	0	0	2
sec-383.avi	197	4	4	1	1	1
sec-385.avi	195	4	3	0	0	2
sec-386.avi	194	4	3	1	2	2
sec-387.avi	193	3	1	0	0	2
sec-388.avi	192	4	4	0	0	2
sec-389.avi	191	3	1	0	3	2
sec-390.avi	190	4	4	0	0	1
sec-391.avi	189	4	4	1	2	1
sec-392.avi	188	3	4	1	2	2
sec-393.avi	187	4	4	0	0	2
sec-394.avi	186	4	3	1	3	2
sec-395.avi	185	5	4	1	2	2
sec-396.avi	184	5	4	1	2	2
sec-397.avi	183	5	4	1	2	2
sec-398.avi	182	5	3	1	3	2
sec-399.avi	181	4	4	1	2	1
sec-400.avi	180	5	3	1	2	1
sec-401.avi	179	4	2	1	2	1
sec-403.avi	177	0	0	0	0	0
sec-404.avi	176	4	3	1	2	1
sec-405.avi	175	4	5	0	0	2
sec-406.avi	174	4	4	1	2	1
sec-407.avi	173	4	1	0	3	2
sec-408.avi	172	3	1	0	0	2
sec-409.avi	171	4	4	1	2	2
sec-410.avi	170	4	2	0	0	2
sec-411.avi	169	4	1	0	0	2
sec-413.avi	167	4	1	0	0	2
sec-414.avi	166	5	5	1	2	1
sec-415.avi	165	2	1	0	0	2
sec-416.avi	164	4	4	1	2	1
sec-417.avi	163	2	2	0	0	2
sec-418.avi	162	3	1	0	0	2
sec-419.avi	161	3	2	0	0	1
sec-420.avi	160	4	3	0	0	1
sec-421.avi	159	3	1	0	0	2
sec-422.avi	158	4	2	0	0	1
sec-423.avi	157	5	4	1	2	1
sec-424.avi	156	5	4	1	2	1
sec-425.avi	155	5	5	1	2	1
sec-426.avi	154	4	2	1	2	2
sec-427.avi	153	4	2	0	0	2
sec-428.avi	152	4	3	1	2	2
sec-430.avi	150	3	3	0	0	2
sec-431.avi	149	3	1	0	0	2
sec-432.avi	148	4	3	1	2	2
sec-433.avi	147	3	1	0	0	2
sec-434.avi	146	4	2	0	0	1
sec-435.avi	145	3	2	0	0	2
