onset	duration	video	participant	session
1	1	sec-1548.avi	sub-06	ses-02
7	1	sec-1147.avi	sub-07	ses-02
13	1	sec-997.avi	sub-07	ses-02
19	1	sec-1189.avi	sub-07	ses-02
25	1	sec-1292.avi	sub-07	ses-02
31	1	sec-1166.avi	sub-07	ses-02
37	1	sec-1451.avi	sub-06	ses-02
43	1	sec-1434.avi	sub-06	ses-02
49	1	sec-1543.avi	sub-06	ses-02
55	1	sec-1604.avi	sub-06	ses-02
61	1	sec-1722.avi	sub-06	ses-02
67	1	sec-1624.avi	sub-06	ses-02
73	1	sec-1053.avi	sub-07	ses-02
79	1	sec-1676.avi	sub-06	ses-02
85	1	sec-1517.avi	sub-06	ses-02
91	1	sec-1623.avi	sub-06	ses-02
97	1	sec-1121.avi	sub-07	ses-02
103	1	sec-1225.avi	sub-07	ses-02
109	1	sec-1390.avi	sub-06	ses-02
115	1	sec-1706.avi	sub-06	ses-02
121	1	sec-1353.avi	sub-06	ses-02
127	1	sec-1271.avi	sub-07	ses-02
133	1	sec-1655.avi	sub-06	ses-02
139	1	sec-1529.avi	sub-06	ses-02
145	1	sec-1601.avi	sub-06	ses-02
151	1	sec-1582.avi	sub-06	ses-02
157	1	sec-1637.avi	sub-06	ses-02
163	1	sec-1071.avi	sub-07	ses-02
169	1	sec-977.avi	sub-07	ses-02
175	1	sec-1118.avi	sub-07	ses-02
181	1	sec-1724.avi	sub-06	ses-02
187	1	sec-1154.avi	sub-07	ses-02
193	1	sec-1359.avi	sub-06	ses-02
199	1	sec-1428.avi	sub-06	ses-02
205	1	sec-1202.avi	sub-07	ses-02
211	1	sec-1100.avi	sub-07	ses-02
217	1	sec-1672.avi	sub-06	ses-02
223	1	sec-1006.avi	sub-07	ses-02
229	1	sec-1062.avi	sub-07	ses-02
235	1	sec-1019.avi	sub-07	ses-02
241	1	sec-1212.avi	sub-07	ses-02
247	1	sec-1029.avi	sub-07	ses-02
253	1	sec-1569.avi	sub-06	ses-02
259	1	sec-1253.avi	sub-07	ses-02
265	1	sec-1696.avi	sub-06	ses-02
271	1	sec-1240.avi	sub-07	ses-02
277	1	sec-1403.avi	sub-06	ses-02
283	1	sec-1251.avi	sub-07	ses-02
289	1	sec-1044.avi	sub-07	ses-02
295	1	sec-1470.avi	sub-06	ses-02
301	1	sec-1378.avi	sub-06	ses-02
307	1	sec-1136.avi	sub-07	ses-02
313	1	sec-1198.avi	sub-07	ses-02
319	1	sec-1173.avi	sub-07	ses-02
325	1	sec-1281.avi	sub-07	ses-02
331	1	sec-1034.avi	sub-07	ses-02
337	1	sec-1084.avi	sub-07	ses-02
343	1	sec-1409.avi	sub-06	ses-02
349	1	sec-1577.avi	sub-06	ses-02
355	1	sec-1515.avi	sub-06	ses-02
