onset	duration	video	participant	session
1	1	sec-228.avi	sub-11	ses-01
7	1	sec-323.avi	sub-11	ses-01
13	1	sec-1185.avi	sub-12	ses-01
19	1	sec-83.avi	sub-11	ses-01
25	1	sec-831.avi	sub-12	ses-01
31	1	sec-167.avi	sub-11	ses-01
37	1	sec-132.avi	sub-11	ses-01
43	1	sec-426.avi	sub-12	ses-01
49	1	sec-567.avi	sub-12	ses-01
55	1	sec-265.avi	sub-11	ses-01
61	1	sec-1136.avi	sub-12	ses-01
67	1	sec-300.avi	sub-12	ses-01
73	1	sec-139.avi	sub-11	ses-01
79	1	sec-356.avi	sub-12	ses-01
85	1	sec-231.avi	sub-11	ses-01
91	1	sec-230.avi	sub-12	ses-01
97	1	sec-164.avi	sub-11	ses-01
103	1	sec-45.avi	sub-11	ses-01
109	1	sec-158.avi	sub-12	ses-01
115	1	sec-930.avi	sub-12	ses-01
121	1	sec-307.avi	sub-11	ses-01
127	1	sec-544.avi	sub-12	ses-01
133	1	sec-193.avi	sub-12	ses-01
139	1	sec-41.avi	sub-11	ses-01
145	1	sec-712.avi	sub-12	ses-01
151	1	sec-68.avi	sub-11	ses-01
157	1	sec-288.avi	sub-11	ses-01
163	1	sec-171.avi	sub-12	ses-01
169	1	sec-188.avi	sub-11	ses-01
175	1	sec-56.avi	sub-11	ses-01
181	1	sec-735.avi	sub-12	ses-01
187	1	sec-103.avi	sub-11	ses-01
193	1	sec-293.avi	sub-11	ses-01
199	1	sec-150.avi	sub-11	ses-01
205	1	sec-210.avi	sub-11	ses-01
211	1	sec-756.avi	sub-12	ses-01
217	1	sec-316.avi	sub-11	ses-01
223	1	sec-240.avi	sub-11	ses-01
229	1	sec-27.avi	sub-11	ses-01
235	1	sec-389.avi	sub-12	ses-01
241	1	sec-786.avi	sub-12	ses-01
247	1	sec-1034.avi	sub-12	ses-01
253	1	sec-1159.avi	sub-12	ses-01
259	1	sec-783.avi	sub-12	ses-01
265	1	sec-493.avi	sub-12	ses-01
271	1	sec-94.avi	sub-11	ses-01
277	1	sec-206.avi	sub-11	ses-01
283	1	sec-106.avi	sub-12	ses-01
289	1	sec-107.avi	sub-12	ses-01
295	1	sec-175.avi	sub-11	ses-01
301	1	sec-282.avi	sub-11	ses-01
307	1	sec-598.avi	sub-12	ses-01
313	1	sec-699.avi	sub-12	ses-01
319	1	sec-21.avi	sub-12	ses-01
325	1	sec-121.avi	sub-11	ses-01
331	1	sec-2.avi	sub-12	ses-01
337	1	sec-927.avi	sub-12	ses-01
343	1	sec-99.avi	sub-11	ses-01
349	1	sec-530.avi	sub-12	ses-01
355	1	sec-73.avi	sub-11	ses-01
