video	time_from_scan	emotion	memory_strength	face_or_not	person_familiarity	place_familiarity
sec-3.avi	998	4	4	0	0	2
sec-8.avi	993	5	2	1	2	2
sec-9.avi	992	3	3	1	2	1
sec-20.avi	981	4	5	1	2	2
sec-22.avi	979	4	4	1	2	2
sec-25.avi	976	4	3	1	2	2
sec-30.avi	971	5	5	1	2	2
sec-32.avi	969	5	3	0	0	2
sec-35.avi	966	4	4	1	2	2
sec-37.avi	964	3	1	0	0	2
sec-43.avi	958	3	1	0	3	2
sec-44.avi	957	5	3	1	3	2
sec-52.avi	949	4	4	1	2	2
sec-53.avi	948	5	5	1	2	2
sec-55.avi	946	0	3	1	2	2
sec-56.avi	945	4	3	1	2	2
sec-57.avi	944	5	2	0	0	2
sec-58.avi	943	4	5	1	2	2
sec-59.avi	942	3	4	0	0	2
sec-60.avi	941	5	2	0	0	2
sec-62.avi	939	5	2	1	3	0
sec-68.avi	933	3	1	0	0	2
sec-73.avi	928	5	5	1	2	0
sec-76.avi	925	5	4	1	2	2
sec-85.avi	916	0	4	1	2	2
sec-87.avi	914	5	5	1	2	2
sec-88.avi	913	5	5	1	2	1
sec-90.avi	911	4	4	0	0	1
sec-93.avi	908	5	2	1	2	2
sec-94.avi	907	4	5	0	0	2
sec-95.avi	906	4	2	1	2	2
sec-97.avi	904	4	4	1	2	2
sec-109.avi	892	4	4	1	2	2
sec-113.avi	888	5	5	1	2	2
sec-116.avi	885	4	4	0	0	2
sec-117.avi	884	3	4	1	1	2
sec-123.avi	878	5	3	0	3	2
sec-142.avi	859	5	4	1	2	2
sec-146.avi	855	5	5	1	1	1
sec-153.avi	848	5	5	1	1	1
sec-155.avi	846	5	5	1	1	1
sec-156.avi	845	4	5	1	1	1
sec-157.avi	844	4	4	1	3	0
sec-159.avi	842	3	2	0	0	2
sec-160.avi	841	3	2	1	2	1
sec-166.avi	835	3	1	1	2	2
sec-167.avi	834	3	1	0	0	2
sec-174.avi	827	5	5	1	1	2
sec-176.avi	825	5	2	0	0	2
sec-178.avi	823	3	2	0	0	2
sec-179.avi	822	4	3	0	0	2
sec-180.avi	821	5	4	1	2	2
sec-185.avi	816	4	5	0	0	1
sec-187.avi	814	5	4	1	2	2
sec-191.avi	810	3	3	1	2	2
sec-198.avi	803	4	3	0	0	1
sec-201.avi	800	5	5	1	3	0
sec-203.avi	798	2	2	0	0	1
sec-205.avi	796	2	5	0	0	2
sec-206.avi	795	3	4	0	0	2
sec-210.avi	791	4	3	0	3	0
sec-212.avi	789	5	5	1	1	2
sec-218.avi	783	4	2	0	0	2
sec-220.avi	781	4	1	0	0	2
sec-221.avi	780	5	5	0	0	1
sec-223.avi	778	4	3	1	1	2
sec-226.avi	775	5	5	0	0	2
sec-237.avi	764	4	4	1	1	1
sec-241.avi	760	4	5	1	2	2
sec-243.avi	758	3	1	0	0	2
sec-245.avi	756	3	1	0	0	2
sec-250.avi	751	5	5	0	0	2
sec-251.avi	750	2	5	1	2	2
sec-252.avi	749	4	2	0	0	2
sec-253.avi	748	3	1	0	0	2
sec-260.avi	741	5	5	1	3	0
sec-261.avi	740	4	1	0	0	2
sec-262.avi	739	4	4	1	2	2
sec-265.avi	736	5	1	1	2	1
sec-282.avi	719	5	2	0	0	2
sec-283.avi	718	3	1	0	0	1
sec-287.avi	714	5	5	1	2	2
sec-288.avi	713	4	1	0	0	2
sec-292.avi	709	5	5	1	2	2
sec-297.avi	704	4	2	1	2	2
sec-299.avi	702	4	1	1	2	2
sec-302.avi	699	2	4	0	0	2
sec-312.avi	689	4	4	0	0	1
sec-318.avi	683	4	4	0	0	2
sec-322.avi	679	3	1	0	0	2
sec-324.avi	677	4	1	0	0	2
sec-329.avi	672	3	4	1	2	2
sec-333.avi	668	5	5	1	1	2
sec-340.avi	661	5	5	1	2	2
sec-342.avi	659	3	1	0	3	0
sec-344.avi	657	4	4	1	2	2
sec-345.avi	656	4	4	1	2	2
sec-346.avi	655	5	5	1	2	0
sec-347.avi	654	4	2	0	0	2
sec-352.avi	649	5	4	0	0	2
sec-355.avi	646	4	3	1	2	2
sec-357.avi	644	4	5	0	0	2
sec-359.avi	642	4	4	0	3	2
sec-366.avi	635	5	5	1	2	1
sec-368.avi	633	4	5	1	1	1
sec-372.avi	629	3	2	0	3	2
sec-374.avi	627	4	1	0	0	2
sec-375.avi	626	3	4	0	0	2
sec-380.avi	621	3	5	0	0	1
sec-382.avi	619	5	5	1	1	2
sec-395.avi	606	4	4	1	1	1
sec-396.avi	605	4	4	1	1	2
sec-406.avi	595	4	3	1	2	2
sec-414.avi	587	5	5	0	0	2
sec-419.avi	582	4	4	1	2	2
sec-422.avi	579	4	5	0	0	2
sec-429.avi	572	4	4	0	3	2
sec-433.avi	568	4	4	1	2	2
sec-439.avi	562	5	4	1	3	2
sec-440.avi	561	1	5	0	0	1
sec-448.avi	553	5	5	0	0	1
sec-450.avi	551	4	5	1	2	1
sec-451.avi	550	3	1	0	0	2
sec-453.avi	548	5	5	1	2	2
sec-460.avi	541	5	4	1	3	2
sec-462.avi	539	5	5	1	2	1
sec-464.avi	537	4	5	1	2	2
sec-467.avi	534	4	3	1	2	2
sec-468.avi	533	5	5	1	2	2
sec-472.avi	529	4	4	0	0	2
sec-473.avi	528	2	4	0	0	1
