onset	duration	video	participant	session
1	1	sec-754.avi	sub-08	ses-01
7	1	sec-975.avi	sub-07	ses-01
13	1	sec-940.avi	sub-07	ses-01
19	1	sec-950.avi	sub-07	ses-01
25	1	sec-834.avi	sub-07	ses-01
31	1	sec-302.avi	sub-07	ses-01
37	1	sec-527.avi	sub-07	ses-01
43	1	sec-185.avi	sub-07	ses-01
49	1	sec-907.avi	sub-07	ses-01
55	1	sec-606.avi	sub-08	ses-01
61	1	sec-812.avi	sub-07	ses-01
67	1	sec-484.avi	sub-08	ses-01
73	1	sec-301.avi	sub-08	ses-01
79	1	sec-212.avi	sub-07	ses-01
85	1	sec-318.avi	sub-08	ses-01
91	1	sec-162.avi	sub-08	ses-01
97	1	sec-657.avi	sub-08	ses-01
103	1	sec-645.avi	sub-07	ses-01
109	1	sec-414.avi	sub-07	ses-01
115	1	sec-567.avi	sub-08	ses-01
121	1	sec-673.avi	sub-08	ses-01
127	1	sec-287.avi	sub-07	ses-01
133	1	sec-427.avi	sub-08	ses-01
139	1	sec-525.avi	sub-08	ses-01
145	1	sec-627.avi	sub-07	ses-01
151	1	sec-218.avi	sub-08	ses-01
157	1	sec-735.avi	sub-08	ses-01
163	1	sec-19.avi	sub-08	ses-01
169	1	sec-439.avi	sub-07	ses-01
175	1	sec-638.avi	sub-08	ses-01
181	1	sec-548.avi	sub-08	ses-01
187	1	sec-409.avi	sub-08	ses-01
193	1	sec-959.avi	sub-07	ses-01
199	1	sec-344.avi	sub-07	ses-01
205	1	sec-292.avi	sub-07	ses-01
211	1	sec-201.avi	sub-07	ses-01
217	1	sec-665.avi	sub-08	ses-01
223	1	sec-502.avi	sub-07	ses-01
229	1	sec-659.avi	sub-07	ses-01
235	1	sec-668.avi	sub-07	ses-01
241	1	sec-476.avi	sub-07	ses-01
247	1	sec-769.avi	sub-08	ses-01
253	1	sec-387.avi	sub-08	ses-01
259	1	sec-936.avi	sub-07	ses-01
265	1	sec-238.avi	sub-08	ses-01
271	1	sec-850.avi	sub-07	ses-01
277	1	sec-600.avi	sub-07	ses-01
283	1	sec-18.avi	sub-08	ses-01
289	1	sec-324.avi	sub-07	ses-01
295	1	sec-390.avi	sub-08	ses-01
301	1	sec-780.avi	sub-08	ses-01
307	1	sec-133.avi	sub-08	ses-01
313	1	sec-913.avi	sub-07	ses-01
319	1	sec-706.avi	sub-08	ses-01
325	1	sec-542.avi	sub-07	ses-01
331	1	sec-277.avi	sub-08	ses-01
337	1	sec-760.avi	sub-08	ses-01
343	1	sec-984.avi	sub-07	ses-01
349	1	sec-73.avi	sub-08	ses-01
355	1	sec-286.avi	sub-08	ses-01
